Period,Scenario,LoadLevel,Node,p.u.
2030,sc01,01-20 20:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,01-20 20:00:00+01:00,Node_3,0.95
2030,sc01,01-20 20:00:00+01:00,Node_1,0.9501231014709571
2030,sc01,01-20 21:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,01-20 21:00:00+01:00,Node_3,0.95
2030,sc01,01-20 21:00:00+01:00,Node_1,0.9501269449346572
2030,sc01,01-20 22:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,01-20 22:00:00+01:00,Node_3,0.95
2030,sc01,01-20 22:00:00+01:00,Node_1,0.9501314316775257
2030,sc01,01-20 23:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,01-20 23:00:00+01:00,Node_3,0.95
2030,sc01,01-20 23:00:00+01:00,Node_1,0.9501357851997068
2030,sc01,01-21 00:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,01-21 00:00:00+01:00,Node_3,0.95
2030,sc01,01-21 00:00:00+01:00,Node_1,0.9501398472352875
2030,sc01,01-21 01:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,01-21 01:00:00+01:00,Node_3,0.95
2030,sc01,01-21 01:00:00+01:00,Node_1,0.95014535923521
2030,sc01,01-21 02:00:00+01:00,Node_2,0.9500554781155915
2030,sc01,01-21 02:00:00+01:00,Node_3,0.95
2030,sc01,01-21 02:00:00+01:00,Node_1,0.9501477518050195
2030,sc01,01-21 03:00:00+01:00,Node_2,0.9500551242405623
2030,sc01,01-21 03:00:00+01:00,Node_3,0.95
2030,sc01,01-21 03:00:00+01:00,Node_1,0.9501489378072057
2030,sc01,01-21 04:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,01-21 04:00:00+01:00,Node_3,0.95
2030,sc01,01-21 04:00:00+01:00,Node_1,0.9501511112665787
2030,sc01,01-21 05:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,01-21 05:00:00+01:00,Node_3,0.95
2030,sc01,01-21 05:00:00+01:00,Node_1,0.9501493682425783
2030,sc01,01-21 06:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,01-21 06:00:00+01:00,Node_3,0.95
2030,sc01,01-21 06:00:00+01:00,Node_1,0.9501513313293285
2030,sc01,01-21 07:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,01-21 07:00:00+01:00,Node_3,0.95
2030,sc01,01-21 07:00:00+01:00,Node_1,0.9501510016484354
2030,sc01,01-21 08:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,01-21 08:00:00+01:00,Node_3,0.95
2030,sc01,01-21 08:00:00+01:00,Node_1,0.9501496580206318
2030,sc01,01-21 09:00:00+01:00,Node_2,0.9500505615288963
2030,sc01,01-21 09:00:00+01:00,Node_3,0.95
2030,sc01,01-21 09:00:00+01:00,Node_1,0.9501438193055786
2030,sc01,01-21 10:00:00+01:00,Node_2,0.9500416953066927
2030,sc01,01-21 10:00:00+01:00,Node_3,0.95
2030,sc01,01-21 10:00:00+01:00,Node_1,0.9501364920922091
2030,sc01,01-21 11:00:00+01:00,Node_2,0.9500343988635092
2030,sc01,01-21 11:00:00+01:00,Node_3,0.95
2030,sc01,01-21 11:00:00+01:00,Node_1,0.9501321570572993
2030,sc01,01-21 12:00:00+01:00,Node_2,0.9500302713827703
2030,sc01,01-21 12:00:00+01:00,Node_3,0.95
2030,sc01,01-21 12:00:00+01:00,Node_1,0.9501304188677488
2030,sc01,01-21 13:00:00+01:00,Node_2,0.9500268449752197
2030,sc01,01-21 13:00:00+01:00,Node_3,0.95
2030,sc01,01-21 13:00:00+01:00,Node_1,0.950130140443816
2030,sc01,01-21 14:00:00+01:00,Node_2,0.9500244783969348
2030,sc01,01-21 14:00:00+01:00,Node_3,0.95
2030,sc01,01-21 14:00:00+01:00,Node_1,0.9501303536881143
2030,sc01,01-21 15:00:00+01:00,Node_2,0.9500304340417018
2030,sc01,01-21 15:00:00+01:00,Node_3,0.95
2030,sc01,01-21 15:00:00+01:00,Node_1,0.9501345012534075
2030,sc01,01-21 16:00:00+01:00,Node_2,0.9500394421077436
2030,sc01,01-21 16:00:00+01:00,Node_3,0.95
2030,sc01,01-21 16:00:00+01:00,Node_1,0.950140276083026
2030,sc01,01-21 17:00:00+01:00,Node_2,0.9500505328742644
2030,sc01,01-21 17:00:00+01:00,Node_3,0.95
2030,sc01,01-21 17:00:00+01:00,Node_1,0.9501449479035368
2030,sc01,01-21 18:00:00+01:00,Node_2,0.9500519348582872
2030,sc01,01-21 18:00:00+01:00,Node_3,0.95
2030,sc01,01-21 18:00:00+01:00,Node_1,0.9501460244531588
2030,sc01,01-21 19:00:00+01:00,Node_2,0.9500507465432713
2030,sc01,01-21 19:00:00+01:00,Node_3,0.95
2030,sc01,01-21 19:00:00+01:00,Node_1,0.9501457925935254
2030,sc01,01-21 20:00:00+01:00,Node_2,0.9500491179763887
2030,sc01,01-21 20:00:00+01:00,Node_3,0.95
2030,sc01,01-21 20:00:00+01:00,Node_1,0.9501454821620945
2030,sc01,01-21 21:00:00+01:00,Node_2,0.9500440199943437
2030,sc01,01-21 21:00:00+01:00,Node_3,0.95
2030,sc01,01-21 21:00:00+01:00,Node_1,0.9501432486138701
2030,sc01,01-21 22:00:00+01:00,Node_2,0.9500399224121723
2030,sc01,01-21 22:00:00+01:00,Node_3,0.95
