LoadLevel,Node_1_Node_2_cac1,Node_1_Node_2_cac2,Node_1_Node_2_cac3,Node_1_Node_2_eac1,Node_1_Node_3_cac1,Node_1_Node_3_cac3,Node_1_Node_3_eac1,Node_2_Node_3_cac1,Node_2_Node_3_cac2,Node_2_Node_3_cac3,Node_2_Node_3_eac1
01-03 14:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.02576898115,-0.03,-0.06,-0.0644919839800017,0.0257689811500017
01-03 15:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.02663168115,0.0294084642300003,-0.06,-0.12,0.0266316811499996
01-03 16:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.02669775615,-0.03,-0.06,-0.0455286431600016,0.0266977561500016
01-03 17:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0295909748899999,-0.03,0.0272390077299978,-0.12,0.0295909748900021
01-03 18:00:00+01:00,-0.023822019555,0.0525,0.105,0.0,-0.03,-0.12,0.014747181945,0.03,0.06,0.12,0.014747181945
01-03 19:00:00+01:00,0.02625,0.00543973971,0.105,0.0,-0.03,-0.12,0.0137570352,0.03,0.06,0.12,0.0137570352
01-03 20:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0364750374099999,-0.03,0.0136330840899973,-0.12,0.0364750374100026
01-03 21:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.04000896866,-0.03,0.0038164641000005,-0.12,0.0400089686599994
01-03 22:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.04266826867,-0.03,-0.0051794839699973,-0.12,0.0426682686699973
01-03 23:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.04575048118,0.0166658282799973,-0.06,-0.12,0.0457504811800026
01-04 00:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0454138012099999,-0.03,-0.06,-0.0732426431399997,0.0454138012099997
01-04 01:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0456512793999999,-0.03,-0.06,-0.0740959881999991,0.0456512793999991
01-04 02:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0469430520999999,-0.03,-0.0157012952400003,-0.12,0.0469430521000003
01-04 03:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0473593700899999,-0.03,-0.06,-0.0753449195700005,0.0473593700900005
