LoadLevel,Node_1_Node_2_cac1,Node_1_Node_2_cac2,Node_1_Node_2_cac3,Node_1_Node_2_eac1,Node_1_Node_3_cac1,Node_1_Node_3_cac2,Node_1_Node_3_cac3,Node_1_Node_3_eac1,Node_2_Node_3_cac1,Node_2_Node_3_cac3,Node_2_Node_3_eac1
10-08 05:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0417497460099999,0.12,0.05651159626,-0.03,-0.12,0.05651159626
10-08 06:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0956201674099999,0.06,-0.03,-0.1170460873999999,0.06
10-08 07:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.03157238461,0.12,0.06,-0.03,-0.11006571721,0.06
10-08 08:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.08673424015,0.06,-0.0204384808499999,-0.12,0.06
10-08 09:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.08417547237,0.06,-0.02467751587,-0.12,0.06
10-08 10:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0821692116699999,0.06,-0.03,-0.1145275133699999,0.06
10-08 11:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.07969049737,0.06,-0.01979805237,-0.12,0.06
10-08 12:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0787067927999999,0.06,-0.03,-0.1035524216999999,0.06
10-08 13:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0184927409799999,0.12,0.06,-0.03,-0.0984628800799999,0.06
10-08 14:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.02027766238,0.12,0.06,-0.03,-0.0957488797799999,0.06
10-08 15:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0838860275099999,0.06,-0.0052114912099999,-0.12,0.06
10-08 16:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.02526773113,0.12,0.06,-0.03,-0.0937599817299999,0.06
10-08 17:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.08575042848,0.06,-0.03,-0.0856277200799999,0.06
10-08 18:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.02539784195,0.12,0.06,0.01125179935,-0.12,0.06
10-08 19:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0888979830699999,0.06,0.00344880073,-0.12,0.06
10-08 20:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0320669482,0.12,0.06,-0.03,-0.0946295274,0.06
10-08 21:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0948373623799999,0.06,-0.0157704760799999,-0.12,0.06
10-08 22:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.09653071308,0.06,-0.02475409738,-0.12,0.06
10-08 23:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0354202325399999,0.12,0.06,-0.0275870380999999,-0.12,0.06
10-09 00:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0328170284699999,0.12,0.06,-0.0286388274599999,-0.12,0.06
10-09 01:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0899972432,0.06,-0.03,-0.1183363741499999,0.06
10-09 02:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0885703789,0.06,-0.03,-0.11750158909,0.06
10-09 03:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0875577583499999,0.06,-0.0253477349399999,-0.12,0.06
10-09 04:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0264213248799999,0.12,0.06,-0.0205159156999999,-0.12,0.06
10-09 05:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0839828927699999,0.06,-0.0128606453699999,-0.12,0.06
10-09 06:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0215229209199999,0.12,0.06,-0.03,-0.0979845374199999,0.06
10-09 07:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0772932919899999,0.06,-0.0020027723899999,-0.12,0.06
10-09 08:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.07356648846,0.06,-0.00611713036,-0.12,0.06
10-09 09:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0107210232999999,0.12,0.06,-0.0110136782,-0.12,0.06
10-09 10:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.06960783358,0.06,-0.01182737438,-0.12,0.06
10-09 11:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0095254607999999,0.12,0.06,-0.0096296381999999,-0.12,0.06
10-09 12:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0719943741699999,0.06,-0.03,-0.0985012612699999,0.06
10-09 13:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0736974263999999,0.06,-0.03,-0.0994226446999999,0.06
10-09 14:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0157429870999999,0.12,0.06,-0.0132603877999999,-0.12,0.06
10-09 15:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.07716606655,0.06,-0.03,-0.1031890883499999,0.06
10-09 16:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0166372308499999,0.12,0.06,-0.0060015751499999,-0.12,0.06
10-09 17:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.01551240765,0.12,0.06,-0.03,-0.08183060775,0.06
10-09 18:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.07305777374,0.06,0.0176260639599999,-0.12,0.06
10-09 19:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0732238942799999,0.06,0.01436670452,-0.12,0.06
10-09 20:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0754983737399999,0.06,0.00905835496,-0.12,0.06
10-09 21:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0187564558499999,0.12,0.06,-0.0006717774499999,-0.12,0.06
10-09 22:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0231258281199999,0.12,0.06,-0.03,-0.1002534647199999,0.06
10-09 23:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0270833691299999,0.12,0.06,-0.03,-0.10819793233,0.06
10-10 00:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0293892135299999,0.12,0.06,-0.0240700968999999,-0.12,0.06
10-10 01:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0305612762099999,0.12,0.06,-0.03,-0.1171465709499999,0.06
10-10 02:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0932684253599999,0.0596298887099999,-0.03,-0.12,0.0596298887099999
10-10 03:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0944703857499999,0.05977849744,-0.03,-0.12,0.05977849744
10-10 04:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.095055208,0.06,-0.02659530366,-0.12,0.06
10-10 05:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0327761756599999,0.12,0.06,-0.03,-0.1083618592599999,0.06
10-10 06:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.03126902439,0.12,0.06,-0.03,-0.10620576849,0.06
10-10 07:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.08861993452,0.06,-0.03,-0.10404561032,0.06
10-10 08:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.08554102645,0.06,-0.01823378465,-0.12,0.06
10-10 09:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0233442569699999,0.12,0.06,-0.0220765072699999,-0.12,0.06
10-10 10:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0817198067799999,0.06,-0.0238443774799999,-0.12,0.06
10-10 11:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.08306500072,0.06,-0.0258170854199999,-0.12,0.06
10-10 12:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.02650271432,0.12,0.06,-0.02824631312,-0.12,0.06
10-10 13:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0888998269899999,0.06,-0.03,-0.1196778901899999,0.06
10-10 14:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0326858932199999,0.12,0.05895101539,-0.03,-0.12,0.05895101539
10-10 15:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0336266443199999,0.12,0.05987492714,-0.03,-0.12,0.05987492714
10-10 16:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0937987023599999,0.06,-0.0268461276599999,-0.12,0.06
