LoadLevel,vTotalCCost,vTotalECost,vTotalGCost,vTotalRCost
01-02 16:00:00+01:00,0.0,3.283607145121972,4.924695223470252,0.0
01-02 17:00:00+01:00,0.0,3.7104704469892,5.550301690778232,0.0
01-02 18:00:00+01:00,0.0,3.893947027481053,5.820270232414611,0.0
01-02 19:00:00+01:00,0.0,3.871856402651144,5.787043983074164,0.0
01-02 20:00:00+01:00,0.0,3.801608260122634,5.681389284131644,0.0
01-02 21:00:00+01:00,0.0,3.624768328260989,5.418617366894465,0.0
01-02 22:00:00+01:00,0.0,3.367579056611232,5.036823872819977,0.0
01-02 23:00:00+01:00,0.0,3.1689924999693684,4.740427750950018,0.0
01-03 00:00:00+01:00,0.0,3.0934267235120707,4.6272686465089405,0.0
01-03 01:00:00+01:00,0.0,2.9384513957326086,4.397528961285119,0.0
01-03 02:00:00+01:00,0.0,2.8276224960735123,4.234673243354315,0.0
01-03 03:00:00+01:00,0.0,2.815192044734949,4.217767052653135,0.0
01-03 04:00:00+01:00,0.0,2.8997871892985603,4.3457858136465815,0.0
01-03 05:00:00+01:00,0.0,3.0716171701245525,4.60355276932406,0.0
01-03 06:00:00+01:00,0.0,3.2102174841720736,4.812444029159511,0.0
01-03 07:00:00+01:00,0.0,3.2656664394322745,4.89694998282514,0.0
01-03 08:00:00+01:00,0.0,3.2757665604545023,4.913018438170117,0.0
01-03 09:00:00+01:00,0.0,3.0607111491743786,4.60430252811376,0.0
01-03 10:00:00+01:00,0.0,2.749885522188696,4.156169370163844,0.0
01-03 11:00:00+01:00,0.0,2.5406425444882803,3.8507039274760064,0.0
01-03 12:00:00+01:00,0.0,2.4414443200434426,3.704099361896329,0.0
01-03 13:00:00+01:00,0.0,2.3798014261493416,3.614508675264766,0.0
01-03 14:00:00+01:00,0.0,2.3451542132555736,3.5632945579694706,0.0
01-03 15:00:00+01:00,0.0,2.419080288368683,3.6696953152435863,0.0
01-03 16:00:00+01:00,0.0,2.758117606790276,4.1657413122217095,0.0
01-03 17:00:00+01:00,0.0,3.1580828171538218,4.751711015358984,0.0
01-03 18:00:00+01:00,0.0,3.298357523388424,4.960031737111371,0.0
01-03 19:00:00+01:00,0.0,3.2627941374108955,4.908154424578837,0.0
01-03 20:00:00+01:00,0.0,3.209156344433473,4.829282062092235,0.0
01-03 21:00:00+01:00,0.0,3.0655027882720858,4.616736972449349,0.0
01-03 22:00:00+01:00,0.0,2.866461505703407,4.3193979468583485,0.0
01-03 23:00:00+01:00,0.0,2.667515227488854,4.0228348647004335,0.0
01-04 00:00:00+01:00,0.0,2.5679202936856056,3.875156494948097,0.0
01-04 01:00:00+01:00,0.0,2.460630523141226,3.713781585344826,0.0
01-04 02:00:00+01:00,0.0,2.384024946646361,3.6001756484530367,0.0
01-04 03:00:00+01:00,0.0,2.3608058180671216,3.5657369717676253,0.0
01-04 04:00:00+01:00,0.0,2.3963617409235387,3.619980859695351,0.0
01-04 05:00:00+01:00,0.0,2.516787889570484,3.798853126078777,0.0
01-04 06:00:00+01:00,0.0,2.7093699058127028,4.0862252827508,0.0
01-04 07:00:00+01:00,0.0,2.8841398877431828,4.345644468774289,0.0
01-04 08:00:00+01:00,0.0,2.9518890210455497,4.4459049434792455,0.0
01-04 09:00:00+01:00,0.0,2.7900748460626805,4.211675200506652,0.0
01-04 10:00:00+01:00,0.0,2.522692387717386,3.824880127909819,0.0
01-04 11:00:00+01:00,0.0,2.3287827338338456,3.541761296255216,0.0
01-04 12:00:00+01:00,0.0,2.2028344576756345,3.356140074145291,0.0
01-04 13:00:00+01:00,0.0,2.187020213928769,3.331886019059554,0.0
01-04 14:00:00+01:00,0.0,2.239810686933241,3.407294500005919,0.0
01-04 15:00:00+01:00,0.0,2.3815991954972704,3.611813805280825,0.0
01-04 16:00:00+01:00,0.0,2.792207060261256,4.210661514278769,0.0
01-04 17:00:00+01:00,0.0,3.2636725523124275,4.898844171643027,0.0
01-04 18:00:00+01:00,0.0,3.387274361116521,5.082103957994854,0.0
01-04 19:00:00+01:00,0.0,3.376461200258168,5.066811930481131,0.0
01-04 20:00:00+01:00,0.0,3.3514038829080874,5.027633619223307,0.0
01-04 21:00:00+01:00,0.0,3.297434550320227,4.943240464844974,0.0
01-04 22:00:00+01:00,0.0,3.188442017676288,4.776426176096708,0.0
01-04 23:00:00+01:00,0.0,3.109708671087714,4.652822654250198,0.0
01-05 00:00:00+01:00,0.0,3.0831323129941857,4.608617971979694,0.0
01-05 01:00:00+01:00,0.0,3.014226760685407,4.503102545850332,0.0
01-05 02:00:00+01:00,0.0,2.965589638461412,4.429834074900534,0.0
01-05 03:00:00+01:00,0.0,2.9641476191175022,4.42770782114947,0.0
01-05 04:00:00+01:00,0.0,3.0227206985786395,4.514431702588466,0.0
01-05 05:00:00+01:00,0.0,3.159240553494112,4.717384895488166,0.0
01-05 06:00:00+01:00,0.0,3.387238043959724,5.058798216600686,0.0
01-05 07:00:00+01:00,0.0,3.5898049189626784,5.362463578272787,0.0
01-05 08:00:00+01:00,0.0,3.678084085851708,5.49629388185297,0.0
01-05 09:00:00+01:00,0.0,3.527194605205286,5.279859410137592,0.0
01-05 10:00:00+01:00,0.0,3.219713799960714,4.83375718656437,0.0
01-05 11:00:00+01:00,0.0,2.9939883833539875,4.50353507502905,0.0
01-05 12:00:00+01:00,0.0,2.8395898584781603,4.2762032709771765,0.0
