LoadLevel,Node_1_Node_2_cac1,Node_1_Node_2_cac3,Node_1_Node_2_eac1,Node_1_Node_3_cac1,Node_1_Node_3_cac2,Node_1_Node_3_cac3,Node_1_Node_3_eac1,Node_2_Node_3_cac1,Node_2_Node_3_cac2,Node_2_Node_3_cac3,Node_2_Node_3_eac1
01-03 19:00:00+01:00,-0.02625,-0.105,0.0,-0.03,0.06,0.04169677491,0.06,-0.03,0.0458172954899999,-0.12,0.06
01-03 20:00:00+01:00,-0.02625,-0.105,0.0,-0.03,0.06,0.0439750374099999,0.06,-0.03,0.0426081215,-0.12,0.06
01-03 21:00:00+01:00,-0.02625,-0.105,0.0,0.03,-0.06,0.1075089686599999,0.06,-0.03,-0.06,-0.0236745672399999,0.06
01-03 22:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.0098317313299999,0.12,0.06,-0.03,0.0299887846999999,-0.12,0.06
01-03 23:00:00+01:00,-0.02625,-0.105,0.0,0.02325048118,-0.06,0.12,0.06,-0.03,0.0249163094599999,-0.12,0.06
01-04 00:00:00+01:00,-0.02625,-0.105,0.0,-0.03,0.06,0.05291380121,0.06,-0.03,-0.06,-0.0353288419299999,0.06
01-04 01:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.0068487205999999,0.12,0.06,-0.03,-0.06,-0.0359447087999999,0.06
01-04 02:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.0055569478999999,0.12,0.06,-0.03,0.02374175686,-0.12,0.06
01-04 03:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.00514062991,0.12,0.06,-0.03,-0.06,-0.03548554948,0.06
01-04 04:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.00430146116,0.12,0.06,-0.03,0.0268775954,-0.12,0.06
01-04 05:00:00+01:00,-0.02625,-0.105,0.0,-0.03,0.06,0.0549998958499999,0.06,-0.03,-0.06,-0.0283040713399999,0.06
01-04 06:00:00+01:00,-0.02625,-0.105,0.0,0.0209446940599999,-0.06,0.12,0.06,-0.03,0.03912628943,-0.12,0.06
01-04 07:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.01345007802,0.12,0.06,-0.03,0.04520506911,-0.12,0.06
01-04 08:00:00+01:00,-0.02625,-0.105,0.0,-0.03,0.06,0.0429971601099999,0.06,-0.03,0.04696889948,-0.12,0.06
01-04 09:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.01905921412,0.12,0.06,-0.03,0.03768014711,-0.12,0.06
