,LoadLevel,mEUR
127,01-06 07:00:00+01:00,7644.041337475619
128,01-06 08:00:00+01:00,7644.041337475619
129,01-06 09:00:00+01:00,7644.041337475619
130,01-06 10:00:00+01:00,7644.041337475619
131,01-06 11:00:00+01:00,7644.041337475619
132,01-06 12:00:00+01:00,7644.041337475619
133,01-06 13:00:00+01:00,7644.041337475619
134,01-06 14:00:00+01:00,7644.041337475619
135,01-06 15:00:00+01:00,7644.041337475619
136,01-06 16:00:00+01:00,112235.38107424065
137,01-06 17:00:00+01:00,1561283.0123931868
138,01-06 18:00:00+01:00,1561283.0123931868
139,01-06 19:00:00+01:00,1051.562642349765
140,01-06 20:00:00+01:00,1051.562642349765
141,01-06 21:00:00+01:00,1051.562642349765
142,01-06 22:00:00+01:00,1051.562642349765
143,01-06 23:00:00+01:00,1051.562642349765
144,01-07 00:00:00+01:00,1051.562642349765
145,01-07 01:00:00+01:00,1051.562642349765
146,01-07 02:00:00+01:00,1051.562642349765
147,01-07 03:00:00+01:00,1051.562642349765
148,01-07 04:00:00+01:00,1051.562642349765
149,01-07 05:00:00+01:00,1051.562642349765
150,01-07 06:00:00+01:00,715445.8107303318
151,01-07 07:00:00+01:00,68708.88063148357
152,01-07 08:00:00+01:00,68708.88063148357
153,01-07 09:00:00+01:00,68708.88063148357
154,01-07 10:00:00+01:00,112235.38107424065
155,01-07 11:00:00+01:00,112235.38107424065
156,01-07 12:00:00+01:00,112235.38107424065
157,01-07 13:00:00+01:00,112235.38107424065
158,01-07 14:00:00+01:00,112235.38107424065
159,01-07 15:00:00+01:00,112235.38107424065
160,01-07 16:00:00+01:00,112235.38107424065
161,01-07 17:00:00+01:00,154693.72594330795
162,01-07 18:00:00+01:00,112235.38107424065
163,01-07 19:00:00+01:00,112235.38107424065
164,01-07 20:00:00+01:00,1561283.0123931868
165,01-07 21:00:00+01:00,1561283.0123931868
166,01-07 22:00:00+01:00,715445.8107303318
167,01-07 23:00:00+01:00,715445.8107303318
168,01-08 00:00:00+01:00,1051.562642349765
169,01-08 01:00:00+01:00,1051.562642349765
170,01-08 02:00:00+01:00,1051.562642349765
171,01-08 03:00:00+01:00,1051.562642349765
172,01-08 04:00:00+01:00,1051.562642349765
173,01-08 05:00:00+01:00,1051.562642349765
174,01-08 06:00:00+01:00,1561283.0123931868
175,01-08 07:00:00+01:00,71404.70789656929
176,01-08 08:00:00+01:00,154693.72594330795
177,01-08 09:00:00+01:00,154693.72594330795
178,01-08 10:00:00+01:00,154693.72594330795
179,01-08 11:00:00+01:00,154693.72594330795
180,01-08 12:00:00+01:00,78723.60923924591
181,01-08 13:00:00+01:00,78723.60923924591
182,01-08 14:00:00+01:00,78723.60923924591
183,01-08 15:00:00+01:00,154693.72594330795
184,01-08 16:00:00+01:00,154693.72594330795
185,01-08 17:00:00+01:00,154693.72594330795
186,01-08 18:00:00+01:00,388650.9742071997
187,01-08 19:00:00+01:00,112235.38107424065
188,01-08 20:00:00+01:00,1561283.0123931868
189,01-08 21:00:00+01:00,21235.59823133599
190,01-08 22:00:00+01:00,1561283.0123931868
191,01-08 23:00:00+01:00,1561283.0123931868
192,01-09 00:00:00+01:00,1051.562642349765
193,01-09 01:00:00+01:00,1051.562642349765
194,01-09 02:00:00+01:00,1051.562642349765
195,01-09 03:00:00+01:00,1051.562642349765
196,01-09 04:00:00+01:00,1051.562642349765
197,01-09 05:00:00+01:00,715445.8107303318
198,01-09 06:00:00+01:00,1561283.0123931868
199,01-09 07:00:00+01:00,70901.8234497328
200,01-09 08:00:00+01:00,154693.72594330795
201,01-09 09:00:00+01:00,154693.72594330795
202,01-09 10:00:00+01:00,154693.72594330795
203,01-09 11:00:00+01:00,78723.60923924591
204,01-09 12:00:00+01:00,78723.60923924591
205,01-09 13:00:00+01:00,78723.60923924591
206,01-09 14:00:00+01:00,78723.60923924591
207,01-09 15:00:00+01:00,388650.9742071997
208,01-09 16:00:00+01:00,154693.72594330795
209,01-09 17:00:00+01:00,154693.72594330795
210,01-09 18:00:00+01:00,112235.38107424065
211,01-09 19:00:00+01:00,112235.38107424065
212,01-09 20:00:00+01:00,1561283.0123931868
213,01-09 21:00:00+01:00,21235.59823133599
214,01-09 22:00:00+01:00,1561283.0123931868
215,01-09 23:00:00+01:00,715445.8107303318
216,01-10 00:00:00+01:00,1051.562642349765
217,01-10 01:00:00+01:00,1051.562642349765
