Period,Scenario,LoadLevel,Variable,Value,Dataset,Execution
2030,sc01,2030-01-01T15:00:00+01:00,Node_3,(0.08393825302+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T16:00:00+01:00,Node_1,(0.029552238800000002+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T16:00:00+01:00,Node_2,(0.03218709882+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T16:00:00+01:00,Node_3,(0.08892703756+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T17:00:00+01:00,Node_1,(0.02985074627+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T17:00:00+01:00,Node_2,(0.03334829387+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T17:00:00+01:00,Node_3,(0.09357220269+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T18:00:00+01:00,Node_1,(0.02985074627+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T18:00:00+01:00,Node_2,(0.03864017843+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T18:00:00+01:00,Node_3,(0.09270365575+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T19:00:00+01:00,Node_1,(0.02865671642+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T19:00:00+01:00,Node_2,(0.04171622237+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T19:00:00+01:00,Node_3,(0.09186053599999999+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T20:00:00+01:00,Node_1,(0.02716417911+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T20:00:00+01:00,Node_2,(0.04322597563+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T20:00:00+01:00,Node_3,(0.08991022602+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T21:00:00+01:00,Node_1,(0.0247761194+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T21:00:00+01:00,Node_2,(0.04426264614+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T21:00:00+01:00,Node_3,(0.08527104295+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T22:00:00+01:00,Node_1,(0.02179104478+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T22:00:00+01:00,Node_2,(0.04363781428+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T22:00:00+01:00,Node_3,(0.0809074755+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T23:00:00+01:00,Node_1,(0.01880597015+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T23:00:00+01:00,Node_2,(0.040350060910000006+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-01T23:00:00+01:00,Node_3,(0.07979788166+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T00:00:00+01:00,Node_1,(0.02150537635+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T00:00:00+01:00,Node_2,(0.03658809252+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T00:00:00+01:00,Node_3,(0.079166841+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T01:00:00+01:00,Node_1,(0.020221473270000002+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T01:00:00+01:00,Node_2,(0.03278921597+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T01:00:00+01:00,Node_3,(0.07958742883+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T02:00:00+01:00,Node_1,(0.01925854598+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T02:00:00+01:00,Node_2,(0.03060320149+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T02:00:00+01:00,Node_3,(0.08069722723+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T03:00:00+01:00,Node_1,(0.01893757022+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T03:00:00+01:00,Node_2,(0.02939653791+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T03:00:00+01:00,Node_3,(0.08328128285+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T04:00:00+01:00,Node_1,(0.01893757022+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T04:00:00+01:00,Node_2,(0.02896867623+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T04:00:00+01:00,Node_3,(0.08921692741+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T05:00:00+01:00,Node_1,(0.01925854598+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T05:00:00+01:00,Node_2,(0.029735109170000003+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T05:00:00+01:00,Node_3,(0.09665740657+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T06:00:00+01:00,Node_1,(0.02375220671+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T06:00:00+01:00,Node_2,(0.03264085766+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T06:00:00+01:00,Node_3,(0.09833773423+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T07:00:00+01:00,Node_1,(0.027603915910000002+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T07:00:00+01:00,Node_2,(0.03688779033+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T07:00:00+01:00,Node_3,(0.09445788295+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T08:00:00+01:00,Node_1,(0.0304926978+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T08:00:00+01:00,Node_2,(0.04143858314+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T08:00:00+01:00,Node_3,(0.09023454147+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T09:00:00+01:00,Node_1,(0.03081367356+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T09:00:00+01:00,Node_2,(0.04569870096+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T09:00:00+01:00,Node_3,(0.08802605389+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T10:00:00+01:00,Node_1,(0.03081367356+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T10:00:00+01:00,Node_2,(0.04835806701+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T10:00:00+01:00,Node_3,(0.08607859646+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T11:00:00+01:00,Node_1,(0.0304926978+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T11:00:00+01:00,Node_2,(0.04772106593+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T11:00:00+01:00,Node_3,(0.08527269752+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T12:00:00+01:00,Node_1,(0.0304926978+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T12:00:00+01:00,Node_2,(0.04622304285+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T12:00:00+01:00,Node_3,(0.08467872909+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T13:00:00+01:00,Node_1,(0.0304926978+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T13:00:00+01:00,Node_2,(0.04626469925+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T13:00:00+01:00,Node_3,(0.08372991167+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T14:00:00+01:00,Node_1,(0.02985074627+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T14:00:00+01:00,Node_2,(0.04518304859+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T14:00:00+01:00,Node_3,(0.08365720168+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T15:00:00+01:00,Node_1,(0.030171722039999998+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T15:00:00+01:00,Node_2,(0.04325316056+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T15:00:00+01:00,Node_3,(0.08412181065+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T16:00:00+01:00,Node_1,(0.03177660087+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T16:00:00+01:00,Node_2,(0.04250035441+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T16:00:00+01:00,Node_3,(0.08797292749+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T17:00:00+01:00,Node_1,(0.03209757664+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T17:00:00+01:00,Node_2,(0.04391910810000001+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T17:00:00+01:00,Node_3,(0.09273487924+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T18:00:00+01:00,Node_1,(0.03209757664+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T18:00:00+01:00,Node_2,(0.04857759381000001+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T18:00:00+01:00,Node_3,(0.09221524269+0j),ElectricityDemand,Network_Full_Generation_Full
