,122_WIND_1,N_106,N_105,Network_Line_Out_N_118_N_121_cac1,N_103,N_118,Network_Line_Out_N_109_N_111_cac1,N_119,N_114,Network_Line_Out_N_101_N_102_cac1,N_104,N_101,N_113,Network_Line_Out_N_115_N_116_cac1,N_120,N_102,113_PV_1,N_116,N_115,N_108,Network_Line_Out_N_106_N_108_cac1,N_110,N_107,104_PV_1,Network_Line_Out_N_103_N_124_cac1,N_109,Network_Line_Out_N_117_N_118_cac1,102_PV_1,102_PV_2,119_PV_1
07-04 10:00:00+02:00,0.034556076,0.021022845,0.016983198,0.002458419,0.012426775,0.007302324,4.17E-06,0.010186856,0.010914313,0.009394962,0.012308091,0.011161175,0.00746826,0.005327607,0.011169791,0,0.010839688,0.006546623,0.006444866,0.007621217,0.000137055,0.007704855,0.008635086,0.010438072,0.010275942,0.005144493,4.20E-05,0.006808606,0.006667805,0.006182329
07-04 11:00:00+02:00,0.0340211,0.02039808,0.017481988,0.002435173,0.012647358,0.006897016,2.05E-06,0.010203534,0.010971959,0.009391277,0.012895356,0.011745068,0.007048452,0.005335551,0.01106784,0,0.011804436,0.006458093,0.006394493,0.008021378,0.000137157,0.008096259,0.009220348,0.010686021,0.010277733,0.005346532,4.16E-05,0.007481677,0.007326957,0.006487269
07-04 12:00:00+02:00,0.033483859,0.020896584,0.01731167,0.002420203,0.012576609,0.006930933,0,0.010105585,0.011029605,0.009384538,0.012770036,0.012044722,0.007122998,0.005346331,0.010885218,0,0.012252308,0.006396904,0.006353218,0.007692322,0.000137141,0.007944046,0.009466774,0.010401787,0.010279274,0.005350273,4.38E-05,0.007777439,0.007616602,0.006482303
07-04 13:00:00+02:00,0.033710869,0.021809853,0.016508739,0.002403065,0.012561964,0.007008942,3.96E-06,0.009859827,0.01101039,0.009388428,0.012374048,0.011677246,0.007019026,0.005347952,0.010517433,0,0.011842216,0.006318139,0.006411412,0.007658068,0.000137148,0.007714519,0.009528381,0.009543034,0.010276591,0.005395171,4.78E-05,0.007652075,0.007493831,0.006124177
07-04 14:00:00+02:00,0.034131028,0.022150039,0.015900458,0.002408317,0.012360983,0.007298932,8.56E-06,0.009670137,0.010856667,0.009395009,0.011965753,0.011405954,0.006979792,0.005334893,0.010180139,0,0.011020284,0.006324648,0.006296907,0.008153467,0.00013706,0.007552642,0.009312758,0.007946481,0.010270217,0.005355885,5.41E-05,0.007233383,0.007083798,0.005439973
07-04 15:00:00+02:00,0.038112646,0.022105553,0.015608484,0.002412943,0.012101195,0.007750028,2.10E-05,0.009378102,0.01072216,0.009442598,0.01186981,0.011382524,0.007164194,0.005336154,0.009873016,0,0.009689876,0.006277129,0.006245754,0.008186425,0.000137285,0.007463248,0.008789102,0.005690745,0.010260026,0.005215581,6.18E-05,0.006419125,0.006286379,0.004391955
07-04 16:00:00+02:00,0.036080048,0.021555367,0.01534084,0.002413415,0.011985609,0.008648828,3.81E-05,0.00923715,0.010702945,0.009494635,0.01162416,0.011362794,0.007279935,0.005359959,0.009805684,0,0.007836377,0.006349384,0.006199474,0.008151651,0.000137302,0.007216808,0.008296249,0.003054013,0.010249713,0.005266091,5.80E-05,0.005284763,0.005175475,0.003009751
07-04 17:00:00+02:00,0.030475142,0.02078864,0.015207018,0.002429811,0.012051175,0.008843851,5.46E-05,0.009072601,0.01072216,0.009441172,0.011114865,0.01104156,0.007199505,0.005385299,0.009595113,0,0.005245003,0.006288195,0.006110916,0.007723982,0.000137269,0.007057348,0.00811143,0.000979703,0.010237213,0.005247383,5.67E-05,0.003656248,0.003580638,0.001462513
07-04 18:00:00+02:00,0.030943707,0.020023876,0.015523324,0.002458395,0.011952938,0.009066007,5.88E-05,0.009298849,0.010702945,0.009299198,0.010650006,0.010839325,0.006873859,0.005392959,0.009331185,0,0.002711658,0.006203571,0.00604311,0.00746188,0.00013776,0.007057348,0.008049823,0.000133046,0.010232633,0.005015413,5.92E-05,0.001893849,0.001854684,0.000470865
07-04 19:00:00+02:00,0.029319346,0.019041261,0.015413834,0.002490045,0.011371176,0.008930339,5.73E-05,0.009258337,0.010971959,0.00932341,0.010540583,0.010490346,0.006406971,0.005382751,0.008542894,0,0.000999275,0.006016748,0.006040714,0.007677012,0.000139698,0.007402846,0.008234643,0,0.010233041,0.005015413,5.15E-05,0.00066942,0.000655576,0.000198949
07-04 20:00:00+02:00,0.030410401,0.018583973,0.016314089,0.002512247,0.010946458,0.008424976,5.67E-05,0.009081753,0.011144897,0.009358145,0.009779676,0.010244334,0.005930273,0.005381534,0.007802878,0,0.00017608,0.005509657,0.005971125,0.007483419,0.000192003,0.006934128,0.00820384,0,0.010233706,0.004787185,4.61E-05,0.000231254,0.000226472,0.000113546
07-04 21:00:00+02:00,0.028493692,0.016983136,0.015596318,0.002506957,0.011352475,0.008196036,7.11E-05,0.007994523,0.010645298,0.009359346,0.008951255,0.009737512,0.006318693,0.005380242,0.007121937,0,0,0.005302654,0.005883399,0.007526238,0.000478218,0.00540717,0.007495364,0,0.010225525,0.004306409,4.97E-05,0,0,1.31E-05
07-04 22:00:00+02:00,0.029243278,0.01490015,0.012627908,0.002468067,0.011430884,0.007178527,6.66E-05,0.006595696,0.010068838,0.009519778,0.007678907,0.008352693,0.005624245,0.005359022,0.005908374,0,0,0.004893856,0.005730653,0.006811554,0.000419735,0.004141148,0.006632872,0,0.010233819,0.003593663,4.53E-05,0,0,0
07-04 23:00:00+02:00,0.030337195,0.012658193,0.009136377,0.00246217,0.01044671,0.005933774,6.12E-05,0.005376079,0.00985747,0.009527292,0.006654287,0.007455581,0.004425635,0.005329839,0.004848214,0,0,0.004334037,0.005559129,0.005598875,0.000388458,0.003556459,0.005831986,0,0.010236634,0.003023091,5.05E-05,0,0,0
07-05 00:00:00+02:00,0.027124001,0.011322308,0.007104719,0.00246184,0.009766486,0.005051933,5.90E-05,0.004734129,0.009261794,0.009521752,0.00598413,0.006397545,0.003958747,0.005314042,0.004255567,0,0,0.004156979,0.00546954,0.004558509,0.000383645,0.003203712,0.004661461,0,0.010236733,0.002770544,5.32E-05,0,0,0
07-05 01:00:00+02:00,0.023923923,0.010369787,0.005997648,0.002451212,0.009426261,0.00450587,5.48E-05,0.004362944,0.008666118,0.009530896,0.005536997,0.005578738,0.003409466,0.00532451,0.003984016,0,0,0.004087978,0.005378995,0.003900658,0.000261955,0.003049083,0.003675756,0,0.010240292,0.002660171,4.69E-05,0,0,0
07-05 02:00:00+02:00,0.019961382,0.009898106,0.005535355,0.002437522,0.008991629,0.004282018,5.38E-05,0.004339697,0.008416319,0.009532344,0.005293718,0.005245173,0.003264299,0.005331359,0.0039278,0,0,0.004084072,0.005470106,0.003401625,0.000249553,0.00306358,0.003182904,0,0.010241075,0.002667654,4.63E-05,0,0,0
07-05 03:00:00+02:00,0.015716629,0.009843153,0.00574217,0.002440851,0.008869734,0.004295585,5.48E-05,0.004136808,0.00816652,0.009536802,0.005277167,0.005057735,0.003423198,0.005333243,0.004173625,0,0,0.003944768,0.005307699,0.00322516,0.000236445,0.003024923,0.002505231,0,0.010240476,0.002828536,4.56E-05,0,0,0.000112527
07-05 04:00:00+02:00,0.012105095,0.010035489,0.005644845,0.002482699,0.00916467,0.004533003,5.71E-05,0.004399564,0.008147304,0.009527898,0.005524014,0.00524024,0.003538939,0.005324827,0.004918087,0,4.27E-06,0.00424681,0.005534389,0.003135111,0.000228027,0.003715919,0.003059691,0.000165945,0.010239917,0.003275639,4.62E-05,0.000152141,0.000148995,0.000178447
07-05 05:00:00+02:00,0.009917858,0.012123054,0.008880899,0.002499456,0.009832052,0.005626826,6.13E-05,0.006614351,0.008224166,0.009504486,0.006831473,0.006219972,0.004661042,0.005344565,0.007211501,0,0.000266888,0.005270757,0.00580531,0.003152757,0.0001565,0.005312943,0.003860576,0.001060619,0.01023973,0.003941617,3.87E-05,0.000273853,0.00026819,0.000550453
07-05 06:00:00+02:00,0.008462681,0.015433326,0.012092621,0.002501642,0.010753363,0.007656757,5.68E-05,0.008488015,0.008608472,0.009479988,0.008621313,0.0075493,0.006000895,0.005356264,0.009018346,0,0.001406405,0.006029116,0.006155148,0.003322216,0.000137375,0.006438833,0.005154314,0.003311336,0.010244382,0.004558957,3.14E-05,0.000817909,0.000800995,0.001124253
07-05 07:00:00+02:00,0.007774139,0.018500889,0.014574406,0.002508226,0.01150321,0.009238983,4.51E-05,0.009468618,0.009184933,0.009437963,0.010220486,0.008956316,0.00697783,0.005342051,0.010001963,0,0.0032516,0.006188599,0.006418496,0.004690858,0.000137341,0.007284458,0.006448052,0.005827964,0.010250795,0.004936843,3.68E-05,0.0021604,0.002115723,0.001890465
07-05 08:00:00+02:00,0.006361884,0.020139016,0.015888293,0.002486152,0.012062892,0.009686687,3.10E-05,0.009992029,0.010241776,0.009395065,0.011075801,0.010299825,0.007570269,0.005319559,0.01042914,0,0.00555778,0.006141731,0.006464586,0.006723321,0.000137291,0.007361773,0.007248938,0.007920416,0.010261334,0.005064052,4.61E-05,0.003988524,0.003906042,0.002856899
07-05 09:00:00+02:00,0.005635786,0.02080565,0.016411414,0.002426696,0.012395005,0.009084661,2.23E-05,0.010035269,0.010991175,0.009439025,0.011836595,0.011085954,0.007778211,0.005341866,0.010565392,0,0.008212282,0.006200316,0.006422056,0.007628224,0.000137167,0.007361773,0.007680184,0.00929702,0.010272166,0.005208098,4.16E-05,0.00552332,0.005409099,0.003458544
07-05 10:00:00+02:00,0.006906756,0.021372844,0.017688804,0.002373375,0.012657046,0.008409713,1.98E-05,0.010413043,0.011048821,0.009455009,0.012452198,0.011483026,0.007613427,0.005377041,0.01083059,0,0.010277651,0.006116344,0.006404134,0.007800537,0.000136267,0.00734486,0.00811143,0.009982873,0.010276781,0.005159459,3.47E-05,0.00662482,0.00648782,0.004041087
07-05 11:00:00+02:00,0.007688057,0.020763126,0.018443072,0.002355472,0.012899935,0.007780554,2.48E-05,0.010416389,0.011260189,0.009435211,0.012967161,0.012076784,0.007344672,0.005381963,0.010729592,0,0.011103274,0.006108532,0.006374022,0.008140233,0.000201392,0.007564723,0.008511872,0.010156135,0.010274277,0.00529041,3.46E-05,0.007377004,0.007224449,0.004357106
07-05 12:00:00+02:00,0.009541813,0.020960696,0.018455237,0.002343129,0.012745595,0.007563485,2.68E-05,0.010316422,0.011356266,0.009420351,0.012956436,0.012329578,0.007221083,0.005384438,0.010401191,0,0.010864842,0.006020003,0.006299004,0.007691284,0.000528582,0.007542978,0.008758299,0.009751856,0.010272552,0.005305376,3.73E-05,0.007502368,0.00734722,0.004496629
07-05 13:00:00+02:00,0.012092099,0.021739853,0.017822626,0.002334676,0.012659074,0.007395596,2.91E-05,0.009896324,0.01129862,0.009438897,0.012408257,0.011835088,0.006993524,0.005390015,0.009982907,0,0.010377102,0.00590153,0.006246943,0.007668448,0.000226597,0.007161239,0.008357856,0.008752257,0.010269851,0.005266091,3.84E-05,0.007423255,0.007269743,0.003965744
07-05 14:00:00+02:00,0.01448095,0.021962936,0.017141351,0.002334558,0.012458094,0.007310803,2.52E-05,0.009668037,0.011087251,0.009463466,0.011783983,0.011331349,0.006960175,0.005395245,0.009768525,0,0.010082195,0.005763528,0.006261357,0.008034872,0.000136187,0.007009026,0.007988216,0.007260205,0.010269878,0.005095855,3.93E-05,0.007084894,0.006938379,0.003732964
07-05 15:00:00+02:00,0.014718214,0.02200546,0.016776383,0.002361582,0.012174873,0.007493955,2.93E-05,0.009411109,0.010760591,0.009477053,0.01153524,0.011190771,0.007040605,0.005367332,0.009485223,0,0.008308529,0.005687366,0.006177886,0.007921987,0.0001371,0.006912383,0.008142233,0.005328013,0.010260967,0.004983611,5.95E-05,0.006241425,0.006112353,0.003399924
07-05 16:00:00+02:00,0.013776671,0.021554713,0.016606064,0.002381106,0.012041938,0.008165511,4.20E-05,0.009069141,0.010606868,0.009483448,0.011251316,0.01112788,0.007038644,0.005361022,0.009222565,0,0.005784848,0.005739443,0.006097458,0.007721906,0.000137354,0.006838065,0.007957413,0.003097858,0.010251068,0.004991094,6.56E-05,0.004991436,0.004888214,0.002502254
07-05 17:00:00+02:00,0.01505396,0.020892659,0.016374917,0.00239692,0.012013773,0.00809259,5.24E-05,0.008929373,0.010549222,0.009491775,0.010766949,0.010773968,0.006930749,0.005375185,0.009118073,0,0.003994719,0.005584516,0.006046728,0.007453835,0.000137365,0.006796412,0.007957413,0.001038485,0.010244384,0.004938714,5.98E-05,0.003448119,0.003376813,0.001315604
07-05 18:00:00+02:00,0.016368329,0.020236492,0.016496574,0.002429646,0.011772687,0.008106156,6.20E-05,0.009003139,0.010626083,0.009439412,0.010376651,0.010488496,0.006473669,0.005389444,0.008651832,0,0.002245042,0.005380768,0.005996749,0.007194328,0.00021439,0.006658696,0.00801902,0.000156692,0.010234405,0.004689907,5.60E-05,0.001749011,0.001712842,0.000511232
07-05 19:00:00+02:00,0.014887279,0.019214625,0.016082943,0.002470438,0.011163211,0.007987447,6.20E-05,0.008816661,0.010818237,0.009336786,0.010425108,0.010051347,0.00581257,0.005386475,0.007625338,0,0.000908224,0.005225191,0.005958242,0.007185504,0.00033163,0.00685923,0.008234643,0,0.01023067,0.004703002,5.36E-05,0.000620735,0.000607898,0.000212193
07-05 20:00:00+02:00,0.011678139,0.018724627,0.016958867,0.002483483,0.010810368,0.007444775,5.83E-05,0.008483486,0.010856667,0.009374792,0.009721487,0.009612348,0.005204437,0.005382231,0.006891357,0,0.000174186,0.004885394,0.005874462,0.007036547,0.000391246,0.006516147,0.008296249,0,0.01023264,0.004497223,4.73E-05,0.000217866,0.00021336,0.000118088
07-05 21:00:00+02:00,0.009031398,0.016937341,0.016241096,0.002482303,0.011358108,0.007281974,6.10E-05,0.0076698,0.010414714,0.009485084,0.00903304,0.009102443,0.005488887,0.00536385,0.006288545,0,0,0.004610692,0.005743841,0.007268287,0.000480781,0.005153483,0.007495364,0,0.010234756,0.004321374,4.28E-05,0,0,1.37E-05
07-05 22:00:00+02:00,0.010351132,0.01488772,0.013284851,0.002445821,0.011441249,0.006712169,5.48E-05,0.006313205,0.010049623,0.009534379,0.007987036,0.007940206,0.005037691,0.005356547,0.005123894,0,0,0.004321669,0.005701331,0.006598758,0.00041311,0.004068666,0.006632872,0,0.010242598,0.003494514,3.94E-05,0,0,0
07-05 23:00:00+02:00,0.010950849,0.012872772,0.009829817,0.002452482,0.010388129,0.005428411,5.55E-05,0.005198043,0.010030408,0.009535117,0.007032301,0.007224367,0.003876354,0.005333122,0.004197445,0,0,0.004074308,0.005518354,0.005458482,0.000396307,0.003280229,0.005277527,0,0.010239309,0.002925814,4.85E-05,0,0,0
07-06 00:00:00+02:00,0.010292591,0.011368103,0.007773828,0.002450876,0.009651125,0.004378681,5.33E-05,0.004456188,0.009646101,0.009529542,0.006386079,0.006274847,0.003462432,0.005322181,0.003422493,0,0,0.003845824,0.005371802,0.004323655,0.00038608,0.002892039,0.004014592,0,0.010239426,0.002617144,5.15E-05,0,0,0
07-06 01:00:00+02:00,0.009809957,0.010262498,0.006411279,0.002428849,0.009220999,0.003713908,5.01E-05,0.004086094,0.009050425,0.009533763,0.005903044,0.005489952,0.003091667,0.005332199,0.002911787,0,0,0.003606273,0.005280511,0.0036466,0.000276272,0.002573117,0.0031521,0,0.010243311,0.002461874,4.47E-05,0,0,0
07-06 02:00:00+02:00,0.008183926,0.009698574,0.006070642,0.002414478,0.008693988,0.003415439,4.74E-05,0.003969037,0.008589257,0.009540467,0.005555965,0.004999777,0.002803295,0.005347825,0.002783475,0,0,0.003615387,0.005256756,0.003152757,0.000269794,0.002553789,0.002566838,0,0.010247224,0.002437555,4.11E-05,0,0,0
07-06 03:00:00+02:00,0.005974513,0.009437547,0.005863826,0.002404334,0.008439608,0.00320685,4.52E-05,0.003399617,0.008358673,0.00954601,0.005304128,0.004672378,0.002554157,0.00535518,0.002724719,0,0,0.003505376,0.005195876,0.002847317,0.000199353,0.002227619,0.002289608,0,0.010250457,0.002415106,3.75E-05,0,0,0.000110999
07-06 04:00:00+02:00,0.006272344,0.008925305,0.005206883,0.002394504,0.008404459,0.002821892,4.54E-05,0.003238177,0.008243381,0.00953344,0.005044027,0.004482474,0.002369755,0.005357199,0.002724719,0,2.13E-05,0.003522951,0.005183221,0.002663326,0.000136675,0.002348422,0.002258805,0.000163586,0.010251475,0.002600308,3.04E-05,0.000148489,0.000145419,0.000171316
07-06 05:00:00+02:00,0.008672999,0.009323715,0.007250706,0.00241858,0.008436679,0.003010131,4.14E-05,0.004223536,0.008128089,0.009524383,0.005758644,0.004475075,0.002393296,0.005355147,0.003311332,0,0.000559561,0.003707822,0.005046581,0.002523451,0.000156547,0.0033221,0.003028887,0.001052697,0.010253569,0.003088567,3.61E-05,0.000265334,0.000259847,0.000555844
07-06 06:00:00+02:00,0.010694151,0.011249692,0.009829817,0.002432125,0.008818362,0.003644379,3.60E-05,0.00560206,0.008012797,0.009493448,0.007070078,0.00470444,0.003228988,0.005352246,0.004372127,0,0.001640271,0.003951929,0.005178219,0.002044141,0.00013734,0.004327186,0.004476642,0.003279889,0.010256545,0.00371526,3.59E-05,0.000768007,0.000752125,0.001404658
07-06 07:00:00+02:00,0.011842793,0.013120715,0.012323768,0.00242255,0.009480336,0.004534699,2.83E-05,0.006790122,0.007590059,0.009483392,0.008483845,0.005642245,0.004072526,0.005353564,0.005614591,0,0.003794165,0.004421265,0.005358239,0.002710037,0.000136815,0.005064088,0.005893593,0.005776439,0.010263774,0.004139914,2.90E-05,0.001970528,0.001929778,0.00268987
07-06 08:00:00+02:00,0.012217288,0.014391834,0.014112113,0.002378364,0.010151548,0.00524526,2.57E-05,0.007667875,0.007647705,0.009458342,0.00946326,0.006941361,0.004745395,0.005365328,0.00657153,0,0.006337659,0.004833969,0.005555202,0.003714072,0.000136396,0.005455492,0.006817692,0.007868407,0.010268654,0.004366272,2.72E-05,0.003435948,0.003364893,0.00391035
07-06 09:00:00+02:00,0.016592,0.014872674,0.015012369,0.002367678,0.010569056,0.005318181,2.65E-05,0.008077914,0.008397104,0.009414528,0.010150149,0.008086334,0.005023959,0.00536324,0.006993942,0,0.007873428,0.004986291,0.005709446,0.004491037,0.00030835,0.005624617,0.007341347,0.009245797,0.010270353,0.004508447,3.25E-05,0.00497683,0.00487391,0.004803054
07-06 10:00:00+02:00,0.022498195,0.014996318,0.016216764,0.002308895,0.01090162,0.005350402,3.03E-05,0.008318947,0.009088856,0.009483073,0.010842638,0.0087362,0.005190705,0.005369024,0.007093035,0,0.008982838,0.005049434,0.005703917,0.005108406,0.000487546,0.005687435,0.007803397,0.009897965,0.010269378,0.004547732,1.06E-05,0.006309584,0.006179103,0.005509246
07-06 11:00:00+02:00,0.026526312,0.014737908,0.017080523,0.002295842,0.011310116,0.005475895,3.60E-05,0.008250792,0.009204148,0.009561089,0.01133405,0.009159168,0.004892524,0.00537546,0.007146392,0,0.009669578,0.00501949,0.005697342,0.005507269,0.000423329,0.005740588,0.008296249,0.010035245,0.010265195,0.004472903,9.58E-20,0.007155487,0.007007513,0.00572441
07-06 12:00:00+02:00,0.027698561,0.014365665,0.016958867,0.002295841,0.011086829,0.005389407,3.64E-05,0.007803721,0.009088856,0.009647517,0.011047327,0.009553157,0.004755204,0.005375464,0.006636003,0,0.009835072,0.004886696,0.005698198,0.005533739,0.000262615,0.005445827,0.008511872,0.009668098,0.010265375,0.00436066,2.00E-09,0.007485328,0.007330533,0.005843304
07-06 13:00:00+02:00,0.027133301,0.014112488,0.016119439,0.002295842,0.01086219,0.005631913,3.60E-05,0.007252194,0.009011995,0.009561089,0.010580979,0.009331191,0.004684582,0.00537546,0.006153246,0,0.00944353,0.004693363,0.005681611,0.005198455,0.000213787,0.005358849,0.008481069,0.008769129,0.010265195,0.004358789,7.06E-20,0.007491414,0.007336493,0.00570221
07-06 14:00:00+02:00,0.032877942,0.014128189,0.015620649,0.002295842,0.010670222,0.005835415,3.60E-05,0.006959685,0.008435534,0.009561089,0.010398418,0.008865063,0.004666927,0.005373844,0.005930607,0,0.008534529,0.004623711,0.005715136,0.004972424,0.00024269,0.00528395,0.008296249,0.007365251,0.010265195,0.004437359,4.54E-20,0.007166441,0.00701824,0.005172132
07-06 15:00:00+02:00,0.037893385,0.014550151,0.015377337,0.002327127,0.010447386,0.006179672,2.96E-05,0.006747634,0.00820495,0.0094146,0.010104763,0.008570959,0.004562956,0.005377759,0.005977929,0,0.006810297,0.004536484,0.005755526,0.004757292,0.000136223,0.005506229,0.00801902,0.005497102,0.010266388,0.004500964,4.24E-05,0.006325407,0.006194598,0.004083365
07-06 16:00:00+02:00,0.040184827,0.014976038,0.015182687,0.002357166,0.010408632,0.006825791,2.81E-05,0.006510019,0.00849318,0.00946344,0.010011755,0.008345294,0.004694391,0.005349471,0.006037639,0,0.005456289,0.004626315,0.005877414,0.004382823,0.000137269,0.005494149,0.007865003,0.003269548,0.010258088,0.004581405,5.86E-05,0.005120451,0.005014561,0.002495845
07-06 17:00:00+02:00,0.04042221,0.01551641,0.015170522,0.002390943,0.010469692,0.006969938,4.04E-05,0.006302817,0.008627688,0.009466518,0.009814608,0.008149224,0.004592381,0.005336085,0.006001114,0,0.003516837,0.004638683,0.005883428,0.004411369,0.000137372,0.005472404,0.00792661,0.001130831,0.010246386,0.004551474,6.74E-05,0.003476113,0.003404228,0.00127286
07-06 18:00:00+02:00,0.037884563,0.015587064,0.015170522,0.002414378,0.01040007,0.006725736,5.00E-05,0.006467634,0.008723764,0.009486824,0.009458202,0.008147374,0.004390325,0.005351589,0.005784827,0,0.001792071,0.004690108,0.005793554,0.004683333,0.000165475,0.005445827,0.00801902,0.00017175,0.010241847,0.004338211,5.89E-05,0.001798913,0.001761712,0.000539672
07-06 19:00:00+02:00,0.035402356,0.014883141,0.015109693,0.00244923,0.009994955,0.006349257,5.72E-05,0.006298431,0.00874298,0.009523252,0.009786699,0.008116546,0.004050947,0.005361347,0.00498796,0,0.000741516,0.004612645,0.005701321,0.005001229,0.00030236,0.005714011,0.008388659,0,0.010236073,0.004534637,5.07E-05,0.000625603,0.000612666,0.000213933
07-06 20:00:00+02:00,0.032462671,0.014550805,0.015900458,0.002481686,0.00976243,0.005923599,6.05E-05,0.006344358,0.008800626,0.009512775,0.009286458,0.008197933,0.003960708,0.005369029,0.004547444,0,8.10E-05,0.004429076,0.005580246,0.005046384,0.000429016,0.005607704,0.008419463,0,0.010231375,0.004358789,4.63E-05,0.000215431,0.000210976,0.000113419
07-06 21:00:00+02:00,0.030096354,0.013371275,0.015194853,0.002469585,0.010383172,0.00589477,5.89E-05,0.005626707,0.008531611,0.009544689,0.008473662,0.007887798,0.004400133,0.005350657,0.004386419,0,0,0.00432883,0.005547059,0.005315233,0.000426671,0.004225711,0.007587774,0,0.010234908,0.003851823,4.63E-05,0,0,1.32E-05
07-06 22:00:00+02:00,0.028089986,0.011788756,0.012421093,0.002458653,0.01059001,0.005272393,5.56E-05,0.004462344,0.008128089,0.009533347,0.007553294,0.006895118,0.003917551,0.005327751,0.00344409,0,0,0.004005307,0.00552568,0.00491637,0.000389879,0.003128814,0.006509659,0,0.010237394,0.003296217,5.17E-05,0,0,0
07-06 23:00:00+02:00,0.028882256,0.010230442,0.00929453,0.002456723,0.009705425,0.004302368,5.29E-05,0.003397856,0.008108874,0.009535443,0.006667045,0.005908604,0.002901381,0.005306547,0.002529075,0,0,0.003666812,0.005389554,0.003965275,0.000367698,0.002445065,0.005123511,0,0.010238126,0.002798604,5.57E-05,0,0,0
07-07 00:00:00+02:00,0.027808131,0.008911567,0.007202044,0.002431722,0.009034213,0.00342731,5.00E-05,0.002673214,0.007993582,0.009536262,0.005947347,0.004943669,0.00229521,0.005326273,0.001825584,0,0,0.003516442,0.005257626,0.003131737,0.000252799,0.002012588,0.003829773,0,0.010242486,0.002508642,4.89E-05,0,0,0
07-07 01:00:00+02:00,0.026771325,0.007978672,0.005948986,0.002415592,0.008631125,0.002889726,4.63E-05,0.002323227,0.007859074,0.009544456,0.005500733,0.00411808,0.001614494,0.005349327,0.001358707,0,0,0.003355006,0.005164518,0.002514109,0.000235279,0.001879704,0.003059691,0,0.010249539,0.002368338,4.33E-05,0,0,0
07-07 02:00:00+02:00,0.025761345,0.007436337,0.005340705,0.002390123,0.008106818,0.002606519,4.77E-05,0.002124848,0.007705351,0.009536327,0.005128093,0.003630989,0.00154191,0.005355696,0.001134161,0,0,0.003230674,0.005101984,0.002027792,0.000136605,0.00176627,0.002566838,0,0.010249924,0.002317828,3.46E-05,0,0,0
07-07 03:00:00+02:00,0.024709039,0.007153066,0.005012233,0.002387536,0.007840722,0.002511552,4.86E-05,0.001631818,0.007493983,0.00953426,0.004935303,0.003359698,0.001443824,0.005359009,0.001102083,0,0,0.003149956,0.005057805,0.001718978,0.000136409,0.001447227,0.002320412,0,0.010250124,0.002286026,3.45E-05,0,0,9.15E-05
07-07 04:00:00+02:00,0.023355802,0.006617273,0.004330959,0.0023828,0.007760735,0.00212829,4.92E-05,0.001393627,0.007397906,0.00952454,0.004569595,0.003189524,0.001161337,0.00536403,0.000956939,0,6.12E-06,0.003068587,0.005020843,0.001610244,0.000136453,0.001333672,0.002135592,0.0001628,0.010252585,0.002353372,3.08E-05,0.000150924,0.000147803,0.000160832
07-07 05:00:00+02:00,0.022827384,0.006203162,0.00535287,0.002387769,0.007689536,0.001819646,4.74E-05,0.001658689,0.007397906,0.009509349,0.004934332,0.003119851,0.001349662,0.005365186,0.001355531,0,0.000298063,0.003283401,0.00504584,0.001352553,0.000136445,0.001961851,0.002813264,0.001060861,0.0102546,0.002718163,2.93E-05,0.000240991,0.000236007,0.000486061
07-07 06:00:00+02:00,0.022898682,0.007144562,0.007250706,0.002394719,0.007920258,0.001875609,4.47E-05,0.002347956,0.007244183,0.009492799,0.005748393,0.003007635,0.001787125,0.00536588,0.001946273,0,0.001363574,0.003625151,0.005145022,0.000976527,0.000136378,0.002589281,0.004137806,0.003342481,0.010258396,0.00335421,2.74E-05,0.000630472,0.000617434,0.001092715
07-07 07:00:00+02:00,0.023766423,0.00817297,0.009391855,0.002377157,0.00840153,0.002336879,3.69E-05,0.003257583,0.006994384,0.009525805,0.006518715,0.003676615,0.002481573,0.00536893,0.002799038,0,0.002755799,0.003884881,0.005395059,0.001320634,0.000136954,0.003174719,0.00540074,0.005901321,0.010264804,0.003825632,1.79E-05,0.001593219,0.001560271,0.001881466
07-07 08:00:00+02:00,0.023603558,0.009150351,0.011715487,0.002320301,0.008982842,0.003120361,3.61E-05,0.003965238,0.007167322,0.009510584,0.00748946,0.004795076,0.003091667,0.005369205,0.003802347,0,0.003664995,0.004285867,0.00562723,0.002069832,0.000137382,0.003597532,0.006478855,0.008024857,0.010266443,0.004063214,7.98E-06,0.003006303,0.002944133,0.002779051
07-07 09:00:00+02:00,0.024297464,0.009988387,0.013588992,0.002295842,0.009473577,0.003630812,3.60E-05,0.004455807,0.007743782,0.009561089,0.008468288,0.005822284,0.003442815,0.00537546,0.004602389,0,0.005537287,0.00448636,0.005708205,0.002876641,0.000137043,0.003839139,0.007033315,0.009448935,0.010265195,0.004373755,9.58E-20,0.004510671,0.004417391,0.003430529
07-07 10:00:00+02:00,0.024635118,0.010470535,0.015109693,0.002295842,0.009858414,0.003708821,3.60E-05,0.004633585,0.007993582,0.009561089,0.009161973,0.006592998,0.00378023,0.00537546,0.005069266,0,0.007961128,0.004621758,0.005780694,0.003624542,0.000140134,0.004003432,0.007433757,0.01019496,0.010265195,0.004499093,8.07E-20,0.005837339,0.005716624,0.003320294
