,122_WIND_1,N_106,N_105,Network_Line_Out_N_118_N_121_cac1,N_103,N_118,Network_Line_Out_N_109_N_111_cac1,N_119,N_114,Network_Line_Out_N_101_N_102_cac1,N_104,N_101,N_113,Network_Line_Out_N_115_N_116_cac1,N_120,N_102,113_PV_1,N_116,N_115,N_108,Network_Line_Out_N_106_N_108_cac1,N_110,N_107,104_PV_1,Network_Line_Out_N_103_N_124_cac1,N_109,Network_Line_Out_N_117_N_118_cac1,102_PV_1,102_PV_2,119_PV_1
01-02 19:00:00+01:00,0.006088018,0.014796132,0.01692237,0.002571221,0.016761377,0.012118534,0.000135606,0.012409097,0,0.009592277,0.009782973,0.010860905,0.009873326,0.005429611,0.01040659,0.010288,0,0.010410673,0.009637182,0.010594655,0.000137821,0.006685272,0.008547912,6.05E-06,0.010197491,0.007647523,8.71E-05,0,0,0
01-02 20:00:00+01:00,0.00532484,0.013200528,0.016192433,0.002554618,0.016020993,0.010909394,0.000120519,0.011777401,0,0.009591831,0.009153822,0.011106917,0.008674716,0.005406577,0.009289261,0.010041581,0,0.010150943,0.009447645,0.01114507,0.000137784,0.005921794,0.00848569,0,0.010199549,0.007209774,9.44E-05,0,0,0
01-02 21:00:00+01:00,0.005039289,0.011302682,0.015754471,0.002521198,0.015334009,0.009588328,9.95E-05,0.010474083,0,0.00959664,0.008177523,0.010895433,0.007711513,0.005383337,0.00834852,0.00939473,0,0.009659475,0.009223508,0.011174914,0.000138809,0.004940868,0.00804397,0,0.010203453,0.006878655,9.75E-05,0,0,0
01-02 22:00:00+01:00,0.00516722,0.009095398,0.013795807,0.002533866,0.015485195,0.008101069,8.35E-05,0.008898981,0,0.009492125,0.007161415,0.009571654,0.008027349,0.005363757,0.007719031,0.008609269,0,0.009055391,0.008910795,0.010314906,0.000335909,0.004001016,0.007558511,0,0.010217184,0.006231385,4.81E-05,0,0,0
01-02 23:00:00+01:00,0.005763002,0.006854749,0.011119372,0.002510489,0.015735745,0.006791874,0.000162416,0.007480851,0,0.009307004,0.005600447,0.00772194,0.008066584,0.005379333,0.006347302,0.007546587,0,0.008549602,0.008411772,0.009052921,0.000754311,0.003307603,0.007203657,0,0.010215673,0.00547187,4.63E-05,0,0,0
01-03 00:00:00+01:00,0.005737011,0.004970642,0.008102299,0.002475194,0.015250192,0.005818457,8.71E-05,0.006399705,0,0.009527272,0.004437794,0.006095425,0.006920941,0.00535428,0.00527952,0.006514707,0,0.008101096,0.008229589,0.007114659,0.00057975,0.002814724,0.006229965,0,0.010227267,0.004949938,4.07E-05,0,0,0
01-03 01:00:00+01:00,0.005542073,0.003696907,0.006155801,0.002480558,0.014733545,0.005124855,8.60E-05,0.005693533,0,0.009525889,0.004252434,0.004623669,0.005989125,0.005339125,0.004872988,0.005944862,0,0.00784397,0.008070563,0.005321462,0.000584653,0.002573117,0.00500615,0,0.010227999,0.004703002,4.43E-05,0,0,0
01-03 02:00:00+01:00,0.006336608,0.003028964,0.005109558,0.002479406,0.014460464,0.004633058,8.44E-05,0.005460027,0,0.009526937,0.00382262,0.003851721,0.00542415,0.005328811,0.0046964,0.005683042,0,0.007668213,0.007968599,0.004181185,0.000561018,0.00253446,0.004160908,0,0.010228332,0.004643139,4.48E-05,0,0,0
01-03 03:00:00+01:00,0.006803862,0.002823544,0.004610768,0.002483721,0.013929398,0.004449907,8.61E-05,0.005452408,0,0.009529594,0.003509117,0.003466981,0.00492195,0.005323094,0.00462621,0.005606036,0,0.007698808,0.007978535,0.003469356,0.000522814,0.002664928,0.003648033,0,0.010227026,0.004659976,4.62E-05,0,0,0
01-03 04:00:00+01:00,0.007023957,0.00306102,0.005012233,0.002490935,0.013801644,0.00456692,8.86E-05,0.005816829,0,0.009532146,0.003553103,0.003404707,0.005065155,0.005331266,0.004800892,0.005806251,0,0.007777573,0.008098341,0.003181303,0.000523066,0.003073244,0.00343395,6.05E-06,0.010226451,0.004914394,4.30E-05,0,0,0
01-03 05:00:00+01:00,0.007171442,0.00395728,0.006362616,0.002516246,0.014380027,0.005319877,9.62E-05,0.006644959,0,0.009549362,0.004318571,0.003779583,0.00575568,0.005358155,0.00561872,0.006391497,0,0.008197437,0.00833847,0.003133035,0.000552863,0.004136316,0.003697935,1.21E-05,0.010223439,0.005744996,3.31E-05,0,0,0
01-03 06:00:00+01:00,0.007527695,0.006553161,0.01029211,0.002572957,0.015400702,0.007251449,9.83E-05,0.009322497,0,0.009359361,0.006196203,0.005237774,0.007362327,0.00539974,0.007165766,0.007392575,0,0.00912309,0.008972069,0.003397992,0.00041493,0.005706763,0.004366058,2.42E-05,0.010220136,0.006699066,2.89E-05,0,0,0
01-03 07:00:00+01:00,0.007857003,0.009588014,0.013126698,0.002590103,0.016389833,0.009800309,0.000121686,0.011178186,0,0.009586153,0.007533988,0.007470996,0.008468736,0.005417573,0.008782684,0.008285844,0,0.010134669,0.00969589,0.004300818,0.000137555,0.007054932,0.005594185,0.000151189,0.010201785,0.007555858,7.18E-05,0,0,9.98E-06
01-03 08:00:00+01:00,0.007139012,0.012393895,0.015182687,0.002612942,0.017103855,0.011981171,0.000116418,0.011975276,0,0.009490169,0.010121134,0.009538976,0.009867441,0.005400357,0.009803461,0.008378251,3.39E-07,0.010654129,0.009811117,0.006314078,0.000137731,0.008040689,0.007187639,0.000483804,0.010213944,0.007967417,7.78E-05,0.0001777,0.000174026,9.84E-05
01-03 09:00:00+01:00,0.005918118,0.013975106,0.016435745,0.0026016,0.017314299,0.012834182,0.000109991,0.012563248,0,0.009453073,0.011165986,0.01106499,0.010338253,0.005387762,0.010376418,0.008085629,0.000257661,0.010673007,0.00976845,0.008504581,0.000137756,0.008463502,0.008216161,0.001118797,0.010220117,0.007900071,8.29E-05,0.000968833,0.000948797,0.00032438
01-03 10:00:00+01:00,0.004542466,0.014179217,0.016484408,0.00255582,0.017335929,0.013010551,0.000103977,0.012480927,0,0.009452293,0.011955186,0.011703142,0.01067763,0.00538766,0.010507588,0.008239641,0.000837812,0.010635902,0.009725398,0.009828589,0.000137743,0.008572225,0.008642478,0.001614696,0.01021844,0.007823371,9.47E-05,0.002540143,0.002487613,0.000429819
01-03 11:00:00+01:00,0.003697259,0.013866508,0.016666892,0.002509536,0.017309567,0.012876579,8.96E-05,0.012779675,0,0.009456244,0.012228248,0.011689577,0.010969926,0.005379388,0.010903321,0.008147233,0.001456907,0.01051092,0.009704209,0.010053582,0.000137515,0.008516655,0.008810972,0.001898931,0.010224204,0.007655006,9.89E-05,0.003822994,0.003743936,0.000431177
01-03 12:00:00+01:00,0.003125799,0.013103052,0.016180268,0.002481639,0.017273967,0.012364432,9.13E-05,0.012790372,0,0.009482195,0.012049909,0.011336898,0.010826721,0.005394235,0.010956996,0.008378251,0.001796004,0.010492693,0.009621114,0.010241206,0.000137525,0.008519071,0.008806968,0.002080357,0.010220808,0.007636299,0.000105367,0.004448598,0.004356601,0.000371242
01-03 13:00:00+01:00,0.003017421,0.012738006,0.01573014,0.002477179,0.016812523,0.012269465,0.000109125,0.012998212,0,0.009534926,0.011076094,0.011114932,0.010658013,0.005421516,0.010562216,0.008501461,0.001972084,0.010400909,0.009543395,0.009721931,0.000137735,0.008233975,0.008659728,0.001693314,0.010207542,0.007576436,0.000108705,0.004431558,0.004339914,0.000345774
