LoadLevel,Node_1_Node_6_cac1,Node_1_Node_6_cac2,Node_1_Node_6_cac3,Node_1_Node_6_eac1,Node_2_Node_3_cac1,Node_2_Node_3_cac2,Node_2_Node_3_cac3,Node_2_Node_3_eac1,Node_2_Node_6_cac1,Node_2_Node_6_cac2,Node_2_Node_6_cac3,Node_2_Node_6_eac1,Node_3_Node_4_cac1,Node_3_Node_4_cac2,Node_3_Node_4_cac3,Node_3_Node_4_eac1,Node_3_Node_6_cac1,Node_3_Node_6_cac2,Node_3_Node_6_cac3,Node_3_Node_6_eac1,Node_4_Node_5_cac1,Node_4_Node_5_cac2,Node_4_Node_5_cac3,Node_4_Node_5_eac1,Node_4_Node_6_cac1,Node_4_Node_6_cac3,Node_4_Node_6_eac1,Node_4_Node_9_cac1,Node_4_Node_9_cac2,Node_4_Node_9_cac3,Node_4_Node_9_eac1,Node_6_Node_7_cac1,Node_6_Node_7_cac2,Node_6_Node_7_cac3,Node_6_Node_7_eac1,Node_6_Node_8_cac1,Node_6_Node_8_cac2,Node_6_Node_8_cac3,Node_6_Node_8_eac1,Node_7_Node_8_cac1,Node_7_Node_8_cac2,Node_7_Node_8_cac3,Node_7_Node_8_eac1,Node_8_Node_9_cac1,Node_8_Node_9_cac2,Node_8_Node_9_cac3,Node_8_Node_9_eac1
12-27 07:00:00+01:00,-0.3,0.6,0.5986874687500003,-0.3,0.1456184691999997,0.6,1.2,0.3,-0.3,-0.6,-1.2,-0.2249999999999999,0.3,0.6,1.2,-0.3,0.3,-0.6,1.0970548807399991,-0.3,0.3,0.6,-0.6593613263428573,-0.0428571428571427,-0.3,-0.0725448557500001,-0.0374999999999999,-0.2195910288500003,0.6,1.2,0.3000000000000003,-0.3,-0.6,0.9447703168200005,0.0499999999999998,-0.3,-0.6,-1.2,0.3,-0.3,-0.6,0.6123613456699999,0.3,-0.3,-0.6,-1.2,0.3
12-27 08:00:00+01:00,0.3,-0.6,1.05094026852,-0.3,0.3,0.6,1.0429347030999996,0.3,-0.3,-0.6,-1.2,-0.2249999999999999,0.3,0.6,1.2,-0.3,-0.3,-0.1020761797100004,1.2,-0.3,0.3,0.6,-0.9971347031,0.3,-0.3,0.0024639648800002,-0.0374999999999999,-0.3,0.5969272070199997,1.2,0.3000000000000003,-0.3,-0.6,0.92280628807,0.0499999999999998,-0.3,-0.6,-1.2,0.3,-0.3,-0.6,0.6126790810499998,0.3,-0.3,-0.6,-1.2,0.3
12-27 09:00:00+01:00,-0.3,0.6,0.3326793168099999,-0.3,0.3,0.6,0.9968389374,0.3,-0.3,-0.6,-1.2,-0.2249999999999999,0.3,0.6,1.2,-0.3,0.3,-0.6,1.0432787603,-0.3,0.3,0.6,-0.6389817945428573,-0.0428571428571427,-0.3,0.06819778625,-0.0374999999999999,-0.3,0.6,1.1057004427499997,0.3000000000000003,-0.3,-0.6,0.8857355091600001,0.0499999999999998,-0.3,-0.6,-1.2,0.3,-0.3,-0.6,0.6136350664099999,0.3,-0.3,-0.6,-1.2,0.3
12-27 10:00:00+01:00,-0.3,0.6,0.3395033149399999,-0.3,0.3,0.3317745685999996,1.2,0.3,-0.3,-0.6,-1.2,-0.2249999999999999,0.3,0.6,1.2,-0.3,-0.3,0.6,0.3521703300399996,-0.3,0.3,0.6,-0.9599745686,0.3,-0.3,0.0782470180000001,-0.0374999999999999,-0.3,0.4592105963999996,1.2,0.3000000000000003,-0.3,-0.6,0.8570121858600006,0.0499999999999998,-0.3,-0.6,-1.2,0.3,-0.3,-0.6,0.61500158946,0.3,-0.3,-0.6,-1.2,0.3
12-27 11:00:00+01:00,-0.3,0.6,0.361621162999999,-0.3,0.3,0.3005886367999998,1.2,0.3,-0.3,-0.6,-1.2,-0.2249999999999999,0.3,0.6,1.2,-0.3,-0.0041465904,-0.6,1.2,-0.3,0.3,0.6,-0.6079314939428573,-0.0428571428571427,-0.3,0.08310966,-0.0374999999999999,-0.3,0.4390380679999998,1.2,0.3000000000000003,-0.3,-0.6,0.8450137782,0.0499999999999998,-0.3,-0.6,-1.2,0.3,-0.3,-0.6,0.6155757101999997,0.3,-0.3,-0.6,-1.2,0.3
12-27 12:00:00+01:00,0.3,-0.6,0.9925141159100008,-0.3,0.3,0.3128180637999999,1.2,0.3,-0.3,-0.6,-1.2,-0.2249999999999999,0.3,0.6,1.2,-0.3,-0.3,-0.3006122589000003,1.2,-0.3,0.3,0.6,-0.6109609209428573,-0.0428571428571427,-0.3,0.0810209661999998,-0.0374999999999999,-0.3,0.4461758067999998,1.2,0.3000000000000003,-0.3,-0.6,0.8583621778100003,0.0499999999999998,-0.3,-0.6,-1.2,0.3,-0.3,-0.6,0.6153863710099998,0.3,-0.3,-0.6,-1.2,0.3
12-27 13:00:00+01:00,-0.3,0.6,0.4710899954999996,-0.3,0.3,0.3397163087999999,1.2,0.3,-0.3,-0.6,-1.2,-0.2249999999999999,0.3,0.6,1.2,-0.3,-0.3,-0.2561643064000001,1.2,-0.3,0.3,0.6,-0.6082591659428573,-0.0428571428571427,-0.3,0.0341923099999998,-0.0374999999999999,-0.3,0.6,1.0885015379999994,0.3000000000000003,-0.3,-0.6,0.8872567687000001,0.0499999999999998,-0.3,-0.6,-1.2,0.3,-0.3,-0.6,0.6155552306999998,0.3,-0.3,-0.6,-1.2,0.3
12-27 14:00:00+01:00,-0.3,-0.0657135492199996,1.2,-0.3,0.3,0.3882156428999996,1.2,0.3,-0.3,-0.6,-1.2,-0.2249999999999999,0.3,0.6,1.2,-0.3,0.3,-0.6,1.0219515833799997,-0.3,0.3,0.6,-0.9512156429,0.3,-0.3,-0.0336007440000003,-0.0374999999999999,-0.3,0.5564601487999997,1.2,0.3000000000000003,-0.3,-0.6,0.9104091711200006,0.0499999999999998,-0.3,-0.6,-1.2,0.3,-0.3,-0.6,0.61554902232,0.3,-0.3,-0.6,-1.2,0.3
12-27 15:00:00+01:00,-0.3,-0.0553535209400001,1.2,-0.3,0.1489516359000001,0.6,1.2,0.3,-0.3,-0.6,-1.2,-0.2249999999999999,0.3,0.6,1.2,-0.3,0.2129435752200001,-0.6,1.2,-0.3,0.3,0.6,-0.6194944930428572,-0.0428571428571427,-0.3,-0.0812007584899998,-0.0374999999999999,0.3,0.6,0.6226201516899998,0.3000000000000003,-0.3,-0.6,0.9282731744400003,0.0499999999999998,-0.3,-0.6,-1.2,0.3,-0.3,-0.6,0.61485302275,0.3,-0.3,-0.6,-1.2,0.3
12-27 16:00:00+01:00,0.3,-0.6,1.1538120326500003,-0.3,0.1989416534999997,0.6,1.2,0.3,-0.3,-0.6,-1.2,-0.2249999999999999,0.3,0.6,1.2,-0.3,-0.3,0.6,0.5889985957499999,-0.3,0.3,0.6,-0.6270845106428573,-0.0428571428571427,-0.3,-0.1197882218700001,-0.0374999999999999,-0.2261423556300003,0.6,1.2,0.3000000000000003,-0.3,-0.6,0.94703629103,0.0499999999999998,-0.3,-0.6,-1.2,0.3,-0.3,-0.6,0.6143786466599999,0.3,-0.3,-0.6,-1.2,0.3
12-27 17:00:00+01:00,-0.3,-0.0025400689599998,1.2,-0.3,0.3,0.6,1.1133114015999996,0.3,-0.3,-0.6,-1.2,-0.2249999999999999,0.3,0.6,1.2,-0.3,-0.3,0.0088966351899995,1.2,-0.3,0.3,0.6,-0.9647114016,0.3,-0.3,-0.15268458001,-0.0374999999999999,0.3,0.0980369160099997,1.2,0.3000000000000003,-0.3,-0.6,0.96274245341,0.0499999999999998,-0.3,-0.6,-1.2,0.3,-0.3,-0.6,0.6147055373999997,0.3,-0.3,-0.6,-1.2,0.3
