LoadLevel,Node_1_Node_6_cac1,Node_1_Node_6_cac2,Node_1_Node_6_cac3,Node_1_Node_6_eac1,Node_2_Node_3_cac1,Node_2_Node_3_cac2,Node_2_Node_3_cac3,Node_2_Node_3_eac1,Node_2_Node_6_cac1,Node_2_Node_6_cac2,Node_2_Node_6_cac3,Node_2_Node_6_eac1,Node_3_Node_4_cac1,Node_3_Node_4_cac2,Node_3_Node_4_cac3,Node_3_Node_4_eac1,Node_3_Node_6_cac1,Node_3_Node_6_cac2,Node_3_Node_6_cac3,Node_3_Node_6_eac1,Node_4_Node_5_cac1,Node_4_Node_5_cac2,Node_4_Node_5_cac3,Node_4_Node_5_eac1,Node_4_Node_6_cac1,Node_4_Node_6_cac2,Node_4_Node_6_cac3,Node_4_Node_6_eac1,Node_4_Node_9_cac1,Node_4_Node_9_cac2,Node_4_Node_9_cac3,Node_4_Node_9_eac1,Node_6_Node_7_cac1,Node_6_Node_7_cac2,Node_6_Node_7_cac3,Node_6_Node_7_eac1,Node_6_Node_8_cac1,Node_6_Node_8_cac2,Node_6_Node_8_cac3,Node_6_Node_8_eac1,Node_7_Node_8_cac1,Node_7_Node_8_cac2,Node_7_Node_8_cac3,Node_7_Node_8_eac1,Node_8_Node_9_cac1,Node_8_Node_9_cac2,Node_8_Node_9_eac1
01-01 20:00:00+01:00,-0.3,0.4694510339000001,1.2,-0.3,-0.2211264084,0.6,1.2,0.3,-0.3,-0.6,-1.2,0.0,0.3,-0.6,1.1915133507,0.3,0.2112391728399998,-0.6,1.2,-0.15,0.3,0.6,-0.3160735915999999,-0.3,0.3,0.6,1.2,-0.3,0.3,-0.1816973299,-1.2,0.0,0.3,0.6,1.2,0.19732106804,-0.3,0.2387270025799998,-1.2,0.3,0.3,0.6,1.2,0.07901839794,0.3,0.6,0.3
01-01 21:00:00+01:00,-0.3,0.6,1.1039137675599993,-0.3,0.3,0.0644643033999989,1.2,0.300000000000001,-0.3,-0.6,-1.2,0.0,-0.3,0.6,0.6056993679999996,0.3,-0.3,-0.1176910140399988,1.2,-0.1500000000000005,0.3,0.6,-0.3092643034,-0.3,0.3,0.6,1.2,-0.3,0.3,-0.6,-0.7788601263999999,0.0,0.3,0.6,1.2,0.19845594944,-0.3,0.2408549051999996,-1.2,0.3,0.3,0.6,1.2,0.0773160758400001,0.3,0.6,0.3
01-01 22:00:00+01:00,-0.3,0.4928406223400009,1.2,-0.3,0.3,0.6,0.6629684622,0.3,-0.3,-0.6,-1.2,0.0,0.2971490371000002,-0.6,1.2,0.3,0.3,-0.6,1.0900475021299998,-0.15,0.3,0.6,-0.3133684621999999,-0.3,0.3,0.6,1.2,-0.3,-0.3,-0.6,-0.1805701926,0.0,0.3,0.6,1.2,0.19777192296,-0.3,-0.6,-0.3604276444399998,0.3,0.3,0.6,1.2,0.0783421155599999,0.3,0.6,0.3
01-01 23:00:00+01:00,0.3,-0.1968904805699998,1.2,-0.3,0.3,0.0869638105999991,1.2,0.300000000000001,-0.3,-0.6,-1.2,0.0,-0.3,-0.0478412720999998,1.2,0.3,-0.3,-0.0377676155299994,1.2,-0.1500000000000005,0.3,0.6,-0.3349638105999999,-0.3,0.3,0.6,1.2,-0.3,-0.3,-0.6,-0.1895682543999999,0.0,0.3,0.6,1.2,0.1941726982399999,-0.3,-0.6,-0.3671761907999998,0.3,0.3,0.6,1.2,0.0837409526400001,0.3,0.6,0.3
01-02 00:00:00+01:00,0.3,-0.3024756360299998,1.2,-0.3,0.3,0.6,0.7172740026999997,0.3,-0.3,-0.6,-1.2,0.0,-0.3,0.6,0.5006791609999999,0.3,-0.3,0.6,0.6477405088199997,-0.15,0.3,0.6,-0.3596740027,-0.3,0.3,0.6,1.2,-0.3,-0.3,-0.6,-0.1998641677999999,0.0,0.3,0.6,1.2,0.19005433288,-0.3,-0.6,-0.3748981258499997,0.3,0.3,0.6,1.2,0.08991850068,0.3,0.6,0.3
01-02 01:00:00+01:00,0.3,-0.4074456575499999,1.2,-0.3,0.3,0.6,0.7054054604599993,0.3,-0.3,-0.6,-1.2,0.0416211629400006,0.3,0.6,1.2,-0.3,-0.3,-0.6,1.111762455739999,-0.1222525580399997,0.3,0.6,-0.6846266234,0.0,0.3,0.6,1.2,0.0958105814700001,0.3,-0.6,-0.7547662091699996,0.3,0.3,0.6,1.2,0.0499999999999998,-0.3,-0.0022951409700001,-1.2,0.3,0.3,0.2602610930899997,1.2,0.3,0.3,0.6,-0.0554948839200004
01-02 02:00:00+01:00,-0.3,0.6,0.7254222718799999,-0.3,0.3,0.6,0.7102474608490903,0.3,-0.3,-0.6,-1.2,0.0579378260509095,0.3,0.6,1.2,-0.3,-0.3,-0.6,1.1101197913018173,-0.1113747826327269,0.3,0.6,-0.9989852869,0.3,0.3,0.6,1.2,0.1039689130254546,-0.3,-0.6,-0.1389934348254542,0.3,0.3,0.6,1.2,0.0499999999999998,0.2690691152754543,-0.6,-1.2,0.3,0.3,0.6,0.8662438695599997,0.3,0.3,0.6,-0.0772504347345457
01-02 03:00:00+01:00,-0.3,0.0784234065399998,1.2,-0.3,0.3,0.1183666598436361,1.2,0.3,-0.3,-0.6,-1.2,0.0669445016563639,0.3,0.6,1.2,-0.3,-0.3,-0.6,1.1191555189827274,-0.105370332229091,0.3,0.6,-0.7069111614999999,0.0,0.3,0.6,1.2,0.1084722508281818,0.3,-0.1302869817281817,-1.2,0.3,0.3,0.6,1.2,0.0499999999999998,0.2532623995981816,-0.6,-1.2,0.3,0.3,0.6,0.86954631727,0.3,0.3,0.6,-0.0892593355418182
01-02 04:00:00+01:00,-0.3,0.6,0.6426062551200002,-0.3,-0.1660165732690914,0.6,1.2,0.3,-0.3,-0.6,-1.2,0.0701381104690913,0.3,0.6,1.2,-0.3,-0.3,-0.6,1.1415116092781803,-0.1032412596872724,0.3,0.6,-1.0097215372,0.3,0.3,0.6,1.2,0.1100690552345455,-0.3,0.4728001734654544,-1.2,0.3,0.3,0.6,1.2,0.0499999999999998,0.2476576161445454,-0.6,-1.2,0.3,0.3,0.6,0.8707173071599998,0.3,0.3,0.6,-0.0935174806254546
01-02 05:00:00+01:00,-0.3,0.0418579132200003,1.2,-0.3,-0.1489300840200006,0.6,1.2,0.3,-0.3,-0.6,-1.2,0.0644173669200006,0.3,0.6,1.2,-0.3,-0.3,-0.6,1.1663728851899988,-0.1070550887199997,0.3,0.6,-0.7046872828999999,0.0,0.3,0.6,1.2,0.10720868346,0.3,-0.1327298786599997,-1.2,0.3,0.3,0.6,1.2,0.0500000000000003,0.2576975210399992,-0.6,-1.2,0.3,-0.0313802987799994,0.6,1.2,0.3,0.3,0.6,-0.0858898225600003
