LoadLevel,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,PV_Cadiz,PV_Malaga,PV_Sevilla,Wind_Acoruna,Wind_Bilbo,Wind_Gijon,Node_1_Node_6_cac1,Node_1_Node_6_cac2,Node_1_Node_6_cac3,Node_2_Node_3_cac1,Node_2_Node_3_cac2,Node_2_Node_3_cac3,Node_2_Node_6_cac1,Node_2_Node_6_cac2,Node_2_Node_6_cac3,Node_3_Node_4_cac1,Node_3_Node_4_cac2,Node_3_Node_4_cac3,Node_3_Node_6_cac1,Node_3_Node_6_cac2,Node_3_Node_6_cac3,Node_4_Node_5_cac1,Node_4_Node_5_cac2,Node_4_Node_5_cac3,Node_4_Node_6_cac1,Node_4_Node_6_cac2,Node_4_Node_6_cac3,Node_4_Node_9_cac1,Node_4_Node_9_cac2,Node_4_Node_9_cac3,Node_6_Node_7_cac1,Node_6_Node_7_cac2,Node_6_Node_7_cac3,Node_6_Node_8_cac1,Node_6_Node_8_cac2,Node_6_Node_8_cac3,Node_7_Node_8_cac1,Node_7_Node_8_cac2,Node_7_Node_8_cac3,Node_8_Node_9_cac1,Node_8_Node_9_cac2,Node_8_Node_9_cac3
01-01 22:00:00+01:00,0.001194298074,0.2866315378,0.04777192297,0.1910876919,0.2866315378,0.09554384595,0.1194298074,0.01791447112,0.1194298074,0.0,0.0,0.0,0.1252,0.022,0.0496,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-01 23:00:00+01:00,0.001104317456,0.2650361894,0.04417269823,0.1766907929,0.2650361894,0.08834539646,0.1104317456,0.01656476184,0.1104317456,0.0,0.0,0.0,0.1208,0.0216,0.052,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-02 00:00:00+01:00,0.001001358322,0.2403259973,0.0400543328799999,0.1602173315,0.2403259973,0.0801086657599999,0.1001358322,0.01502037483,0.1001358322,0.0,0.0,0.0,0.112,0.0212,0.0576,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-02 01:00:00+01:00,0.000897389069,0.2153733766,0.03589556276,0.1435822511,0.2153733766,0.07179112553,0.08973890691,0.01346083604,0.08973890691,0.0,0.0,0.0,0.1088,0.02,0.0624,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-02 02:00:00+01:00,0.000837561304,0.2010147131,0.0335024521799999,0.1340098087,0.2010147131,0.06700490435,0.08375613044,0.01256341957,0.08375613044,0.0,0.0,0.0,0.1144,0.022,0.0692,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-02 03:00:00+01:00,0.000804536827,0.1930888385,0.0321814730899999,0.1287258923999999,0.1930888385,0.0643629461799999,0.08045368273,0.01206805241,0.08045368273,0.0,0.0,0.0,0.1284,0.0276,0.0784,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-02 04:00:00+01:00,0.000792826928,0.1902784628,0.03171307714,0.1268523085,0.1902784628,0.06342615427,0.07928269284,0.01189240393,0.07928269284,0.0,0.0,0.0,0.1384,0.036,0.0944,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-02 05:00:00+01:00,0.0008138029879999,0.1953127170999999,0.03255211951,0.1302084781,0.1953127170999999,0.06510423903,0.08138029878,0.01220704482,0.08138029878,0.0,0.0,0.0,0.1532,0.0407999999999999,0.1108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-02 06:00:00+01:00,0.000893328736,0.2143988968,0.03573314946,0.1429325978,0.2143988968,0.07146629892,0.0893328736499999,0.01339993105,0.0893328736499999,0.0,0.0,0.0,0.1651999999999999,0.0512,0.1224,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-02 07:00:00+01:00,0.001009560577,0.2422945385,0.04038242309,0.1615296923999999,0.2422945385,0.08076484618,0.1009560577,0.01514340866,0.1009560577,0.0004,0.006,0.0012,0.18,0.0736,0.124,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-02 08:00:00+01:00,0.001134108591,0.2721860618,0.04536434364,0.1814573745,0.2721860618,0.09072868727,0.1134108591,0.01701162886,0.1134108591,0.0648,0.1168,0.1024,0.2224,0.1016,0.128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-02 09:00:00+01:00,0.001250701289,0.3001683094,0.05002805157,0.2001122063,0.3001683094,0.1000561031,0.1250701289,0.01876051934,0.1250701289,0.1764,0.2032,0.1972,0.2152,0.1348,0.1372,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-02 10:00:00+01:00,0.00132348394,0.3176361456,0.05293935759,0.2117574304,0.3176361456,0.1058787152,0.132348394,0.0198522591,0.132348394,0.252,0.2563999999999999,0.2576,0.236,0.1496,0.142,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-02 11:00:00+01:00,0.001306050226,0.3134520542,0.05224200904,0.2089680362,0.3134520542,0.1044840181,0.1306050226,0.01959075339,0.1306050226,0.2868,0.2796,0.2888,0.2332,0.1408,0.1464,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-02 12:00:00+01:00,0.001265051699,0.3036124078,0.05060206796,0.2024082719,0.3036124078,0.1012041359,0.1265051699,0.01897577549,0.1265051699,0.2964,0.284,0.2956,0.22,0.128,0.1628,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-02 13:00:00+01:00,0.001266191768,0.3038860244,0.05064767073,0.2025906828999999,0.3038860244,0.1012953415,0.1266191768,0.01899287652,0.1266191768,0.2828,0.268,0.2804,0.2104,0.1248,0.1916,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-02 14:00:00+01:00,0.001236588698,0.2967812874,0.0494635479,0.1978541916,0.2967812874,0.0989270958,0.1236588698,0.01854883046,0.1236588698,0.244,0.2284,0.2412,0.206,0.132,0.2271999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-02 15:00:00+01:00,0.00118377071,0.2841049705,0.04735082842,0.1894033137,0.2841049705,0.09470165684,0.118377071,0.01775656066,0.118377071,0.1776,0.1636,0.174,0.2032,0.1364,0.2603999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-02 16:00:00+01:00,0.001163167594,0.2791602226,0.04652670377,0.1861068151,0.2791602226,0.09305340755,0.1163167594,0.0174475139199999,0.1163167594,0.076,0.0636,0.072,0.2452,0.1364,0.2864,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-02 17:00:00+01:00,0.001201996642,0.2884791942,0.0480798657,0.1923194628,0.2884791942,0.0961597314,0.1201996642,0.01802994964,0.1201996642,0.0,0.0,0.0,0.2824,0.1432,0.3031999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-02 18:00:00+01:00,0.0013294920409999,0.3190780899,0.05317968166,0.2127187266,0.3190780899,0.1063593633,0.1329492041,0.01994238062,0.1329492041,0.0,0.0,0.0,0.278,0.1515999999999999,0.302,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-02 19:00:00+01:00,0.001378538838,0.3308493211,0.05514155352,0.2205662141,0.3308493211,0.110283107,0.1378538838,0.02067808257,0.1378538838,0.0,0.0,0.0,0.272,0.1568,0.2932,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-02 20:00:00+01:00,0.001390183518,0.3336440442,0.0556073407,0.2224293628,0.3336440442,0.1112146814,0.1390183518,0.02085275276,0.1390183518,0.0,0.0,0.0,0.2556,0.158,0.288,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-02 21:00:00+01:00,0.001391015265,0.3338436636,0.05564061061,0.2225624424,0.3338436636,0.1112812212,0.1391015265,0.02086522898,0.1391015265,0.0,0.0,0.0,0.2348,0.17,0.2852,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-02 22:00:00+01:00,0.001332301254,0.3197523009,0.05329205015,0.2131682006,0.3197523009,0.1065841003,0.1332301253999999,0.01998451881,0.1332301253999999,0.0,0.0,0.0,0.2152,0.18,0.2828,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-02 23:00:00+01:00,0.001230650155,0.2953560373,0.04922600621,0.1969040248,0.2953560373,0.09845201242,0.1230650155,0.01845975233,0.1230650155,0.0,0.0,0.0,0.2064,0.1776,0.2836,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
