LoadLevel,Node_1_Node_6_eac1,Node_2_Node_3_eac1,Node_2_Node_6_eac1,Node_3_Node_4_eac1,Node_3_Node_6_eac1,Node_4_Node_5_eac1,Node_4_Node_6_eac1,Node_4_Node_9_eac1,Node_6_Node_7_eac1,Node_6_Node_8_cac2,Node_6_Node_8_eac1,Node_7_Node_8_eac1,Node_8_Node_9_eac1
05-21 06:00:00+02:00,0.3,0.1421126352792233,0.1238700075207765,0.2341815687749844,0.0115236873742393,0.2580173572,-0.1377207149536856,-0.0581266449713299,0.0629606502116185,0.1156710293264744,0.057835514663237,-0.0221465819883814,0.13523387717133
05-21 07:00:00+02:00,0.3,0.1838662387354465,0.0626388577945544,0.1996534476534666,-0.0501738808380201,0.2807200315000001,-0.1624138154119314,-0.1057994561346018,0.0295082641749432,0.0838463690197732,0.0419231845098863,0.0081415843749432,0.1163661359346029
05-21 08:00:00+02:00,0.3,0.0885982540184042,-0.0763662652784063,0.1543234904565439,-0.0952099705281398,0.2801084045,-0.1678596594314448,-0.1446641909120112,-0.0133452798468553,0.0363599442925781,0.0181799721462889,0.0427428849531446,0.0797760261120116
05-21 09:00:00+02:00,0.3,0.0191904429475748,-0.1833145723575783,0.1199599577864145,-0.1318049363788397,0.2822125292,-0.1738286759006383,-0.1765655816129471,-0.047543785512436,-0.0007168281297447,-0.0003584140648724,0.070867660687564,0.0521541354129468
05-21 10:00:00+02:00,0.2341014288300019,-0.0042636734412376,-0.2154166782587624,0.1066022167273172,-0.1414792821185549,0.2844803517,-0.1727358470434896,-0.1947958557291931,-0.0718338301044011,-0.0283488882576045,-0.0141744441288018,0.0900326899955988,0.0297293356291931
05-21 11:00:00+02:00,0.1513496411200018,-0.0014250671863589,-0.203725613713641,0.1078210282095561,-0.135104542215915,0.2871506809,-0.1687165492929082,-0.2020468906975356,-0.0857090395632089,-0.0446699454528356,-0.0223349727264178,0.100644843436791,0.0156930076975356
05-21 12:00:00+02:00,0.0951185048499979,0.0041834487791188,-0.1831049268791187,0.1119915447314236,-0.1241616756423048,0.2853214781,-0.1631159721888682,-0.2004282799797081,-0.0904471073086135,-0.0508827479544535,-0.0254413739772267,0.1038689434913864,0.009712229179708
05-21 13:00:00+02:00,0.1076569504139999,0.0051134871128016,-0.1630453877128016,0.1130451723810697,-0.1112536686982681,0.2743319006,-0.1540934842618709,-0.1900811776570593,-0.0876558943875626,-0.0496715113102513,-0.0248357556551262,0.1004391470124373,0.0087861362570593
05-21 14:00:00+02:00,0.127288282103,0.0073045879660024,-0.1477168833660024,0.118966088293005,-0.1021302162270025,0.2668122954,-0.1509514673533795,-0.1747696033536154,-0.0729312505009122,-0.0331198655236463,-0.0165599327618231,0.0886969597990878,0.0223413930536154
05-21 15:00:00+02:00,0.2368063978000001,0.005460117345645,-0.147597076845645,0.130565400668898,-0.101128109903253,0.2665369595,-0.1574494578455011,-0.1562134072856007,-0.0449481343691998,0.0015561562832013,0.0007780781416004,0.0683947992308002,0.0540704736856007
05-21 16:00:00+02:00,0.3,0.0582582190889192,-0.0680089783989197,0.163309001815992,-0.0744684284770727,0.2677058745,-0.1579194474927994,-0.1249480081912086,-0.0069380387569699,0.0459372619321207,0.0229686309660603,0.03911784684303,0.0912921225912112
05-21 17:00:00+02:00,0.3,0.1503963122226839,0.0709850845973101,0.2093006624524858,-0.0278747663798018,0.2674224969,-0.151718988817655,-0.0846845102298591,0.0365932848642655,0.0941714748170611,0.0470857374085305,0.0039672444642655,0.1285105506298572
05-21 18:00:00+02:00,0.3,0.1873766016810085,0.1650578776189915,0.2476253251021825,0.0163502842388236,0.2655655207,-0.1425031150097455,-0.0524807609880719,0.0709869610497247,0.128664163718898,0.0643320818594488,-0.0260653392502752,0.1503330612880719
05-21 19:00:00+02:00,0.3,0.1609730882516263,0.1783214500483737,0.2698770269385236,0.0383944225731026,0.2719054617,-0.139877324906751,-0.0434214176547254,0.0796498365106755,0.1379690382027011,0.0689845191013502,-0.0332441058893244,0.1567153600547254
05-21 20:00:00+02:00,0.3,0.1382635057375649,0.186477345762435,0.295982460748059,0.0551864776395076,0.2892591485,-0.1435991797379064,-0.0425169403140345,0.0844148679962905,0.144820039665163,0.072410019832581,-0.0361097772037095,0.1630415855140345
05-21 21:00:00+02:00,0.3,0.1369452264666313,0.1813815357333686,0.2899571380277022,0.0524484105889307,0.2844732377999999,-0.1418869033256163,-0.0422780216466815,0.0830845525838118,0.1426893852152467,0.0713446926076232,-0.0354459631161881,0.1608085373466815
05-21 22:00:00+02:00,0.3,0.158063828367259,0.1656627496327409,0.2543191160223999,0.0314099189048638,0.2594734219999999,-0.1353920083353528,-0.0427445790422472,0.076380420206035,0.1325393995441407,0.0662696997720709,-0.0317335055939649,0.1508585048422472
05-21 23:00:00+02:00,0.3,0.1631277771258115,0.1544094259741884,0.2356133613625968,0.0213757287532196,0.2456627968999999,-0.1312265542867076,-0.0425980792506954,0.0726191140486706,0.1267012582746823,0.0633506291373416,-0.0297403846513293,0.1449575779506954
05-22 00:00:00+02:00,0.3,0.1726369923238193,0.1442134618761807,0.2153332860782758,0.0098238117555441,0.2311495457999999,-0.1272154449822641,-0.04270051193946,0.0687030751213516,0.1207126032854055,0.0603563016427027,-0.0276092356286483,0.13901282268946
05-22 01:00:00+02:00,0.3,0.1833400018950693,0.1393451116049306,0.2014775070326477,0.0012267401224191,0.2217148864999999,-0.1250033868035896,-0.0430439169637626,0.0661969127491091,0.1169777266764359,0.0584888633382175,-0.0261842899508908,0.1354251196637626
05-22 02:00:00+02:00,0.3,0.1918085249759083,0.1382560933240916,0.1942653164311332,-0.0037335336052262,0.2171353816999999,-0.1242159729733774,-0.0434110133954893,0.065009072554213,0.1152793690808505,0.0576396845404255,-0.0254640031557868,0.1338840891054892
05-22 03:00:00+02:00,0.3,0.1967995241922138,0.1381766996077861,0.1907782812497975,-0.0062819623575826,0.2150237761999999,-0.1239478975493103,-0.0436467815008921,0.0644708605455561,0.1145342580702248,0.057267129035111,-0.0251223795244438,0.1332400215708921
05-22 04:00:00+02:00,0.3,0.1923183333237144,0.1412386780762856,0.1979691911380484,-0.0020000479443336,0.2200429886,-0.1252307804195303,-0.0435383428424213,0.0658147393532032,0.1165636316528114,0.0582818158264066,-0.0258698392467968,0.1352229214424213
05-22 05:00:00+02:00,0.3,0.1742288322379432,0.1463512121620567,0.2192910172622107,0.0104530586557329,0.2358199555999999,-0.1292170917970818,-0.0445251502407074,0.0689943546809583,0.121324114979833,0.0606620574899159,-0.0276639601590416,0.1395834650807074
05-22 06:00:00+02:00,0.3,0.1557455557854144,0.1290486467145855,0.2337251553450651,0.0081596532503498,0.2600057975,-0.1399584821529029,-0.0596593583020318,0.0623010023202904,0.1161868108811615,0.0580934054405798,-0.0208347466797095,0.1371951073020319
05-22 07:00:00+02:00,0.3,0.1724042335387198,0.0678772033612801,0.2076417835405599,-0.0409506478618398,0.2821185631,-0.1604891006092293,-0.1020667210502107,0.0363594995671729,0.0885589561886912,0.0442794780943465,0.0008100982671729,0.1160161223502108
05-22 08:00:00+02:00,0.3,0.076298485830512,-0.0708838047005177,0.1637844322261132,-0.0854051127156012,0.2827149979,-0.1664191046780212,-0.1409881262958655,-0.0077930509734477,0.0408311308262075,0.0204155654131039,0.0372090332265522,0.0807860420958637
05-22 09:00:00+02:00,0.3,0.0043435482439432,-0.1819903508639492,0.1273413686618809,-0.1234986746979376,0.2838051257000001,-0.1722123614371285,-0.1734548127009905,-0.044379709981287,0.0019177429548505,0.0009588714774252,0.0677681543187129,0.0529069484009888
05-22 10:00:00+02:00,0.2970741274999991,-0.0340628536282265,-0.2511369315717734,0.1030637097355089,-0.1503931942337355,0.2859997852000001,-0.1772097142599947,-0.1963928847044964,-0.0689084555765005,-0.0240603458260023,-0.0120301729130011,0.0883249672234994,0.0343594619044964
05-22 11:00:00+02:00,0.2424743593300021,-0.0310668024405031,-0.2530499629594969,0.0980803107455757,-0.1531665740860788,0.2881167654,-0.1761751247805437,-0.2059391734738805,-0.0822742084294455,-0.0392546772377816,-0.0196273386188902,0.0988771393705544,0.0219878256738805
05-22 12:00:00+02:00,0.2175414169300022,-0.0244711323130116,-0.2460129087869882,0.0976879005384752,-0.1517730397014869,0.2880840410999999,-0.1748847176126617,-0.2075674503488629,-0.0860961745487335,-0.0436407255549342,-0.0218203627774668,0.1018688083512663,0.0184024674488629
05-22 13:00:00+02:00,0.1818324049300025,-0.0201296822362008,-0.2223090635637991,0.0983383947115638,-0.1381412012577647,0.2764387458,-0.1650673976380509,-0.1973254506503853,-0.0831132514599443,-0.0431455031197787,-0.021572751559889,0.0977039377400555,0.0157082614503853
05-22 14:00:00+02:00,0.2146312891499984,-0.0193484853820565,-0.2046099858179434,0.1053908506088778,-0.1267324145209343,0.2687584712,-0.1609185925212484,-0.1816213421698737,-0.0684081985228751,-0.0272051081714993,-0.01360255408575,0.0856091051771248,0.0280040384698737
05-22 15:00:00+02:00,0.3,-0.0091129978876611,-0.1773765477523424,0.122934707553403,-0.1136945328910641,0.2666809646999999,-0.1621050918891746,-0.1594284750574223,-0.0415126946860824,0.0049619114956694,0.0024809557478347,0.0653702367139175,0.0561455436574218
05-22 16:00:00+02:00,0.3,0.0670494923395163,-0.0548548012295187,0.1661076602156204,-0.0700946136561041,0.2678186747,-0.1563882478768406,-0.1238685497075388,-0.0043188399660658,0.046738857095736,0.0233694285478678,0.0356900456339341,0.089059664107538
05-22 17:00:00+02:00,0.3,0.1432638211046584,0.0719847009853393,0.2116080522500947,-0.0236421098954363,0.2669872725,-0.1499866150778858,-0.0833841201720194,0.0383696415802887,0.0945270512811554,0.0472635256405773,0.0015249446802887,0.1266288170720216
05-22 18:00:00+02:00,0.3,0.1206750471126981,0.1363184331873019,0.2553965147108424,0.0305414319018522,0.2646065197,-0.1367167477678869,-0.0488976036212706,0.0693810662430389,0.1254399185721542,0.0627199592860776,-0.0256716502569611,0.1459503201212706
05-22 19:00:00+02:00,0.3,0.099369196821511,0.150226182178489,0.2734460097832739,0.0504661897082368,0.267604621,-0.1330541138333681,-0.039507578083358,0.0779259055233367,0.1339405414533466,0.0669702707266736,-0.0331760198766632,0.151009503483358
05-22 20:00:00+02:00,0.3,0.0881863474777533,0.1583617967222466,0.2917195115984684,0.0614813574092877,0.2802518558,-0.1362136766920774,-0.0391532380094541,0.0814948640042078,0.1391448854568313,0.0695724427284155,-0.0352767425957921,0.1559248446094541
05-22 21:00:00+02:00,0.3,0.0972610366719836,0.1602273877280163,0.2881079763426304,0.0581877401493525,0.2785115756,-0.136426680102129,-0.0396513028552404,0.0810946902064632,0.1387043771458534,0.0693521885729259,-0.0349517995935367,0.1556977926552404
05-22 22:00:00+02:00,0.3,0.1259274046682049,0.151709059331795,0.257134676234446,0.0381756705537608,0.2579635359999999,-0.1320774197312081,-0.0407271306343457,0.0756832858106207,0.1307574526824836,0.0653787263412414,-0.0318015207893793,0.1482119372343457
05-22 23:00:00+02:00,0.3,0.142654094825499,0.1466571607745009,0.2389512684319133,0.0264443931035843,0.2458887444,-0.129511247942257,-0.0413520576258296,0.072502305077976,0.126083390711902,0.0630416953559516,-0.0299513384220239,0.1438057011258296
05-23 00:00:00+02:00,0.3,0.1670845553024759,0.142303571797524,0.2164998731686989,0.0113267702137779,0.2314118729,-0.1268173430701034,-0.0423692385611975,0.0687267972638856,0.1206326071515407,0.0603163035757711,-0.0276948164261143,0.1387908522511975
05-23 01:00:00+02:00,0.3,0.1955193444796216,0.1424616182203783,0.1974621040425152,-0.002785260092892,0.2200190373,-0.125502760096241,-0.0437335313612437,0.0658361366027491,0.1166651882189968,0.0583325941094977,-0.0258384622672508,0.1354081302312437
05-23 02:00:00+02:00,0.3,0.2061735860961804,0.1395909546738196,0.1863513323050577,-0.0100261565988771,0.2126904623,-0.1239892001398188,-0.0441435713551234,0.063909891352732,0.1138459238749273,0.0569229619374636,-0.0247111346072679,0.1327645973151231
05-23 03:00:00+02:00,0.3,0.2035910979260211,0.1371357675439734,0.184766781969716,-0.0103717039336949,0.2111761192999999,-0.1232580166813433,-0.0439354002489406,0.0634700180681344,0.1130959927205372,0.0565479963602683,-0.0245200316518655,0.1319254499689401
05-23 04:00:00+02:00,0.3,0.1993489948073019,0.1337136787726947,0.1829932751458233,-0.0105320448885214,0.2093265873,-0.1222698306325303,-0.0436145397216463,0.0629232659213781,0.112142005493512,0.0560710027467559,-0.0242961454486218,0.1308339510916461
05-23 05:00:00+02:00,0.3,0.1909358037567456,0.1273752951032509,0.1822182110029515,-0.0105510384762059,0.2092117873999999,-0.1217996607339987,-0.0446684405630497,0.06180844583215,0.1103192584005989,0.0551596292002992,-0.0237631322478499,0.1286400186430482
05-23 06:00:00+02:00,0.3,0.1650532259745847,0.0932331354054125,0.1748646133782684,-0.0203711893836837,0.2145588118999999,-0.1245687753991802,-0.0581646310225513,0.0515503397917931,0.0970821512471721,0.0485410756235857,-0.0166491651582068,0.115564135972551
05-23 07:00:00+02:00,0.3,0.127496260390073,0.032250383979926,0.1617796913684923,-0.0422478742084193,0.2301866594,-0.1327982127616222,-0.0890665281698854,0.0332831528474122,0.0711948384616493,0.0355974192308243,-0.0054279552325877,0.0869776362498859
05-23 08:00:00+02:00,0.3,0.0731138700300083,-0.0504101655300137,0.1463630947450218,-0.0701637120350134,0.2406869239,-0.1440997182418986,-0.1106820602130796,0.01634633621044,0.0559673955617586,0.0279836977808793,0.0104601179104401,0.0793682785130781
05-23 09:00:00+02:00,0.3,0.0102946313718146,-0.1411599533318157,0.1308392123822661,-0.0992539512404514,0.2490562214,-0.1562149711692545,-0.1280395187484793,-0.0141301992530744,0.037921722027701,0.0189608610138506,0.0448963751469256,0.0862129443484773
05-23 10:00:00+02:00,0.1829438674200027,-0.0208873997737671,-0.1789757060262327,0.1164088533901718,-0.108873437463939,0.2542631058,-0.1544106114668109,-0.1529523781430173,-0.0642695928895689,-0.008667108838274,-0.004333554419137,0.090987446310431,0.0620953389430172
05-23 11:00:00+02:00,0.1441390480039999,-0.0228030577963272,-0.1698254213036726,0.1081742809912907,-0.101815418637618,0.2546284791,-0.1439704895977703,-0.1722360279109389,-0.0873701162727226,-0.0449927844508912,-0.0224963922254454,0.1029346841272773,0.0195312275109389
05-23 12:00:00+02:00,0.145339591807,-0.0135779857439665,-0.1429199806560334,0.1104966807480726,-0.0884909942320392,0.2544979664,-0.1354286711415746,-0.1782379255103527,-0.0929709066670923,-0.0602689375483709,-0.0301344687741858,0.1017882740329076,-0.0045212551896473
05-23 13:00:00+02:00,0.143773341946,0.0335949681593917,-0.1271929011593917,0.0941213975086813,-0.1015927515192895,0.2463979329999999,-0.1350204370823933,-0.1815213871089252,-0.0911984569030102,-0.0624991162520414,-0.0312495581260208,0.0977357376969897,-0.0114128074910747
05-23 14:00:00+02:00,0.132619079596,0.0508171070112069,-0.0938380039112068,0.0995475136409482,-0.0879672227797414,0.2354208969,-0.1281926131103979,-0.1646280347486537,-0.0786647402233352,-0.049206225485341,-0.0246031127426702,0.0872432194066647,-0.0012799248813462
05-23 15:00:00+02:00,0.1122436965329999,0.0266984219588245,-0.0514112541588245,0.1300696636774539,-0.0476233804186294,0.2295128322,-0.1170110751123799,-0.1354406482101662,-0.0548687534462617,-0.0243235685690484,-0.0121617842845241,0.0671008998137382,0.0162709949501662
05-23 16:00:00+02:00,0.1943549776800008,0.0233072696881634,-0.0445392641881634,0.1475150815743541,-0.0413464776361907,0.2276319945,-0.1232067842111145,-0.1086647917145301,-0.0180946979076386,0.0209865453614456,0.0104932726807228,0.0402586377123613,0.0575114560945301
