Period,Scenario,LoadLevel,Unit,MW
2030,sc01,01-02 06:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-02 06:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-02 07:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-02 07:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-02 07:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-02 07:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-02 07:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-02 07:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-02 08:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-02 08:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-02 08:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-02 08:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-02 08:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-02 08:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-02 09:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-02 09:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-02 09:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-02 09:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-02 09:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-02 09:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-02 10:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-02 10:00:00+01:00,PV_Sevilla,1.8796745699970474
2030,sc01,01-02 10:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-02 10:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-02 10:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-02 10:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-02 11:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-02 11:00:00+01:00,PV_Sevilla,100.89497944400105
2030,sc01,01-02 11:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-02 11:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-02 11:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-02 11:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-02 12:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-02 12:00:00+01:00,PV_Sevilla,152.1095416509994
2030,sc01,01-02 12:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-02 12:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-02 12:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-02 12:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-02 13:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-02 13:00:00+01:00,PV_Sevilla,122.19683418199983
2030,sc01,01-02 13:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-02 13:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-02 13:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-02 13:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-02 14:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-02 14:00:00+01:00,PV_Sevilla,71.88943114200077
2030,sc01,01-02 14:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-02 14:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-02 14:00:00+01:00,Wind_Gijon,0.0
