,Network_Existing_Generation_Full,Network_Line_In_Node_1_Node_2_cac1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,0.020353627,0.020671098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,0.019795588,0.020113585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,0.0191341,0.019453068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,0.018386377,0.018696581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,0.017634172,0.017944375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,0.017173117,0.017483319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,0.016803981,0.017114184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,0.016443626,0.016753828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,0.016339102,0.016649304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,0.016773698,0.017083901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,0.01858746,0.018897666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,0.021189075,0.02151268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,0.021955001,0.02227833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,0.021763973,0.022086711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,0.021168188,0.021490034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,0.020254426,0.020564632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,0.019589642,0.019899847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,0.01899844,0.019308643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,0.018803732,0.019113935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,0.018686434,0.018996638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,0.018900392,0.019210597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.019498377,0.019808582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,0.020890427,0.021211374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,0.022662884,0.022984093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,0.023278788,0.023600024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
