,Network_Existing_Generation_Full,Network_Line_In_N_101_N_102_cac1,Network_Line_In_N_101_N_103_cac1,Network_Line_In_N_101_N_105_cac1,Network_Line_In_N_102_N_104_cac1,Network_Line_In_N_102_N_106_cac1,Network_Line_In_N_103_N_109_cac1,Network_Line_In_N_103_N_124_cac1,Network_Line_In_N_104_N_109_cac1,Network_Line_In_N_105_N_110_cac1,Network_Line_In_N_106_N_108_cac1,Network_Line_In_N_106_N_110_cac1,Network_Line_In_N_108_N_109_cac1,Network_Line_In_N_108_N_110_cac1,Network_Line_In_N_109_N_111_cac1,Network_Line_In_N_110_N_111_cac1,Network_Line_In_N_111_N_113_cac1,Network_Line_In_N_111_N_114_cac1,Network_Line_In_N_112_N_123_cac1,Network_Line_In_N_113_N_123_cac1,Network_Line_In_N_114_N_116_cac1,Network_Line_In_N_115_N_116_cac1,Network_Line_In_N_115_N_121_cac1,Network_Line_In_N_115_N_121_cac2,Network_Line_In_N_115_N_124_cac1,Network_Line_In_N_116_N_117_cac1,Network_Line_In_N_116_N_119_cac1,Network_Line_In_N_117_N_118_cac1,Network_Line_In_N_117_N_122_cac1,Network_Line_In_N_118_N_121_cac1,Network_Line_In_N_118_N_121_cac2,Network_Line_In_N_119_N_120_cac1,Network_Line_In_N_119_N_120_cac2,Network_Line_In_N_120_N_123_cac2,Network_Line_In_N_121_N_122_cac1
20,0.029138193,0.029025668,0.028557764,0.029155254,0.02934482,0.02908419,0.029478531,0.02914283,0.028953973,0.028813906,0.028320333,0.02772098,0.02776123,0.02801354,0.028430983,0.028036442,0.026981521,0.029669782,0.028687874,0.028531471,0.028631173,0.02893434,0.027641136,0.026410628,0.028375054,0.028319482,0.029387467,0.0292697,0.029195242,0.028673796,0.027867787,0.02913455,0.027643172,0.0285677,0.028011106
21,0.02499232,0.024965389,0.024578704,0.024949942,0.025038857,0.024705214,0.025101587,0.02481925,0.024893876,0.024573429,0.023878558,0.02354468,0.023849301,0.023889069,0.024033908,0.02399407,0.023548093,0.025195688,0.024331026,0.024300687,0.024866097,0.024588924,0.023892641,0.022158125,0.024282023,0.024335226,0.025182486,0.02523641,0.025185611,0.024417512,0.023910917,0.024946226,0.02453199,0.025151765,0.023948394
22,0.021201683,0.020364352,0.021032955,0.020960206,0.020652873,0.02094636,0.021134397,0.020446531,0.019314593,0.02094303,0.020058766,0.019535555,0.020176215,0.020010233,0.020241145,0.020086091,0.019434411,0.02044017,0.020854052,0.018699959,0.020234168,0.020064393,0.019257601,0.018655222,0.020412304,0.01956551,0.02094886,0.020780526,0.020516913,0.01985519,0.01948463,0.021061936,0.021328399,0.019867685,0.020614414
23,0.01917955,0.018580448,0.018559594,0.018830352,0.01932019,0.018888775,0.019372895,0.018411286,0.018598128,0.019096162,0.018159736,0.01749245,0.017859615,0.01881322,0.0184698,0.018129174,0.01636797,0.019055163,0.018773135,0.018589582,0.018700765,0.018828645,0.017997984,0.017383926,0.01820141,0.018418262,0.019425415,0.019264705,0.019485224,0.018345188,0.017710924,0.01977256,0.020183519,0.018787824,0.017880473
24,0.018434389,0.018549923,0.017578727,0.018750342,0.018508349,0.018165387,0.01815716,0.017459704,0.018669643,0.018223302,0.016969899,0.016502108,0.01676149,0.018574763,0.017691718,0.01727815,0.016713437,0.018559746,0.018016886,0.018737962,0.017727287,0.01786662,0.01707702,0.016492374,0.017273685,0.017524805,0.018337399,0.01853613,0.018532671,0.017290272,0.016795432,0.01902391,0.019302942,0.018728325,0.016748536
25,0.018270202,0.018587098,0.017428165,0.01864142,0.01838256,0.018009521,0.018035743,0.017390648,0.018735353,0.018065963,0.016864471,0.016386002,0.016607597,0.01849644,0.01761644,0.017179366,0.016934859,0.018477447,0.017915998,0.018583009,0.01761761,0.017748445,0.01696892,0.016457424,0.017181046,0.017383022,0.018250763,0.018344682,0.01857691,0.017175667,0.01664483,0.018895103,0.01916977,0.01875338,0.016648108
26,0.01871388,0.01854881,0.017831244,0.01890011,0.018870877,0.018571995,0.018575924,0.017871015,0.018682782,0.01854397,0.017425247,0.01681563,0.017134598,0.018868858,0.018093482,0.017526401,0.01680177,0.018869765,0.018301152,0.01875577,0.018089157,0.018179106,0.017423619,0.016876083,0.017634377,0.017796185,0.018749952,0.018841367,0.01897173,0.01766914,0.01704906,0.019298665,0.019573784,0.018750906,0.017154936
27,0.020344144,0.019449195,0.019592606,0.019954469,0.019965004,0.019959638,0.020450896,0.019570652,0.01865382,0.019537842,0.019348897,0.018642437,0.018581536,0.01905841,0.019501325,0.019029478,0.016777102,0.019106254,0.020149758,0.018552143,0.019805282,0.019467335,0.018858131,0.018469173,0.01927763,0.018976212,0.019998427,0.019964594,0.020126143,0.019281726,0.018499289,0.020376507,0.020972693,0.019461416,0.019127112
28,0.024184126,0.024089431,0.023847956,0.02420005,0.02422014,0.0238818,0.024156474,0.024253326,0.024052098,0.023762252,0.023110637,0.022850227,0.022832153,0.02303297,0.023207517,0.02300696,0.02275458,0.024355806,0.023529192,0.023505408,0.02381739,0.023705825,0.023050465,0.01998328,0.023483016,0.023527866,0.02443256,0.024435624,0.024340272,0.023515366,0.022845257,0.024025362,0.02308414,0.024415268,0.023061605
29,0.029868925,0.029768463,0.02933072,0.029885463,0.030090913,0.029769376,0.030225953,0.029789075,0.029716441,0.029501628,0.029104568,0.028563159,0.028279945,0.028772414,0.029149262,0.028739765,0.027783956,0.030360805,0.029356549,0.029260311,0.029578516,0.029774476,0.028454427,0.027130857,0.029225726,0.0291522,0.030235615,0.03003149,0.030054636,0.02941532,0.02881183,0.029834319,0.027005527,0.029458389,0.028729087
30,0.032306828,0.032378003,0.031778805,0.032384805,0.032425456,0.032124884,0.032459572,0.032147877,0.03226871,0.031849533,0.03177333,0.030956572,0.030773642,0.031090207,0.031528227,0.031060066,0.030122234,0.0327342,0.03188222,0.031849448,0.03205945,0.03221207,0.030988533,0.029660512,0.03175048,0.031667203,0.032908607,0.032694116,0.032402676,0.031940445,0.03125712,0.032092527,0.02883383,0.032200564,0.031415388
31,0.029980903,0.030097703,0.0298263,0.030201092,0.03023225,0.029850248,0.03019167,0.029829923,0.029723004,0.029641517,0.029640226,0.028560929,0.02843624,0.028914656,0.029194308,0.028948862,0.027175048,0.030086458,0.028823564,0.029157393,0.029391194,0.029673845,0.02889728,0.027927887,0.029240478,0.029598476,0.030728292,0.030366525,0.030384563,0.029295165,0.029275585,0.029843291,0.027696358,0.02974309,0.029139439
32,0.027658273,0.027424447,0.027877944,0.027672958,0.027728815,0.027293283,0.027861722,0.027964653,0.0273413,0.027271185,0.027285576,0.026187675,0.026360285,0.026396995,0.026918435,0.026805328,0.024853846,0.027849706,0.026714541,0.026150554,0.02691538,0.026874278,0.026502753,0.02583702,0.027027594,0.027118245,0.027972538,0.028183272,0.027873237,0.027024496,0.026815595,0.02780058,0.027249513,0.02773305,0.026179096
33,0.026423384,0.026425974,0.02657279,0.026570175,0.026524162,0.026031556,0.02643196,0.026696827,0.026275204,0.025964139,0.026045946,0.025233064,0.025298677,0.025277082,0.025670163,0.025655935,0.023726352,0.026625073,0.025874672,0.025397472,0.026328957,0.025763893,0.025340948,0.025053376,0.025962407,0.026144011,0.026723037,0.026885362,0.026542265,0.025962189,0.0256896,0.026660576,0.026874254,0.02675299,0.024968885
34,0.025610138,0.025634099,0.025775325,0.025704432,0.025603266,0.025154268,0.025486557,0.025586976,0.025472943,0.025095535,0.025224455,0.024308115,0.024464983,0.024410058,0.024710346,0.024678268,0.023000482,0.025725842,0.025165815,0.024889458,0.025766823,0.025029678,0.024529224,0.024389604,0.02501626,0.025172604,0.025784818,0.026059529,0.025906725,0.025135046,0.024741389,0.025781037,0.026244141,0.025705975,0.023950176
35,0.025294669,0.025287146,0.02549556,0.025385207,0.025247756,0.024815276,0.025131999,0.02523559,0.025151396,0.024737589,0.02491565,0.02395343,0.024149051,0.02404855,0.024382196,0.024374362,0.022807073,0.025360364,0.024884945,0.02459295,0.025514163,0.024782587,0.024301203,0.02418948,0.02464055,0.02481687,0.025487117,0.02578361,0.025709061,0.024877626,0.024498863,0.025350224,0.025970735,0.024825681,0.023709603
36,0.024927314,0.024874883,0.0251349,0.025013946,0.02486833,0.02441778,0.024764001,0.024925364,0.024765048,0.024367003,0.024542915,0.023573885,0.023795461,0.023644596,0.024030877,0.023982756,0.022494778,0.024959378,0.02454619,0.024281643,0.025179613,0.024396555,0.023983894,0.023835346,0.02427639,0.024458261,0.02512021,0.025405912,0.025334362,0.024516832,0.024104495,0.024853721,0.02562214,0.024251487,0.023718987
37,0.024470856,0.024352437,0.024616862,0.024563286,0.02440829,0.023931287,0.024328813,0.024464248,0.024294192,0.023910338,0.024105718,0.023071403,0.023365155,0.023138827,0.023602862,0.02345454,0.02207392,0.024473732,0.024104942,0.023867302,0.024311872,0.023862008,0.02356116,0.023007317,0.023845602,0.023992037,0.0246401,0.024917979,0.024747532,0.023967056,0.023447987,0.024175745,0.02510418,0.023819488,0.023813386
