Period,Scenario,LoadLevel,mEUR
2030,sc01,04-29 19:00:00+02:00,1417112.7851878814
2030,sc01,04-30 04:00:00+02:00,75900.71856864323
2030,sc01,04-30 08:00:00+02:00,1832978.8831338466
2030,sc01,05-07 16:00:00+02:00,801.4510532346796
2030,sc01,05-19 00:00:00+02:00,26458.325205268997
2030,sc01,05-22 12:00:00+02:00,15734111.466816837
2030,sc01,05-27 14:00:00+02:00,8729701.778597398
2030,sc01,06-03 12:00:00+02:00,5664.7071018417055
2030,sc01,06-04 05:00:00+02:00,302586.7735562452
2030,sc01,06-09 00:00:00+02:00,36906.703090254574
2030,sc01,06-13 10:00:00+02:00,34116.12667134423
2030,sc01,06-17 08:00:00+02:00,1075.4449697905768
2030,sc01,06-19 09:00:00+02:00,167822.39012753093
2030,sc01,06-19 14:00:00+02:00,5344535.699707347
2030,sc01,06-20 10:00:00+02:00,5.017930189610667
2030,sc01,06-21 19:00:00+02:00,52594.56544703309
2030,sc01,06-26 19:00:00+02:00,816.1275383830334
2030,sc01,07-01 04:00:00+02:00,127621.58531378146
2030,sc01,07-01 11:00:00+02:00,1737.9647482367848
2030,sc01,07-02 12:00:00+02:00,332017.752381094
2030,sc01,07-03 07:00:00+02:00,2158288.7680497696
2030,sc01,07-04 06:00:00+02:00,3753328.0084429877
2030,sc01,07-04 09:00:00+02:00,1654885.2486746493
2030,sc01,07-05 22:00:00+02:00,84119.93706424875
2030,sc01,07-08 16:00:00+02:00,2157161.7858072724
2030,sc01,07-09 15:00:00+02:00,2780246.9408932216
2030,sc01,07-10 15:00:00+02:00,707.4396593690656
2030,sc01,07-18 11:00:00+02:00,4444462.9105092315
2030,sc01,08-01 01:00:00+02:00,61904.21091978307
2030,sc01,08-01 12:00:00+02:00,6500493.785266326
2030,sc01,08-06 11:00:00+02:00,179261.6287952824
2030,sc01,08-08 06:00:00+02:00,200914.73943225946
2030,sc01,08-08 15:00:00+02:00,2626934.5376335806
2030,sc01,08-14 07:00:00+02:00,1406254.8341213497
2030,sc01,08-19 12:00:00+02:00,1097.66244414605
2030,sc01,08-20 19:00:00+02:00,424092.2448739735
2030,sc01,08-22 18:00:00+02:00,540112.8667503644
2030,sc01,08-26 09:00:00+02:00,57975.62165984242
2030,sc01,08-27 10:00:00+02:00,38696.29325723193
2030,sc01,08-28 00:00:00+02:00,81145.07225724959
2030,sc01,08-28 19:00:00+02:00,1716625.4446351165
2030,sc01,08-30 10:00:00+02:00,102443.77270447795
2030,sc01,08-31 19:00:00+02:00,33803.82525772772
2030,sc01,09-03 15:00:00+02:00,1502627.5286972418
2030,sc01,09-16 09:00:00+02:00,77968.09768940894
2030,sc01,09-16 13:00:00+02:00,4952831.80851222
2030,sc01,09-16 17:00:00+02:00,1303258.2548542065
2030,sc01,09-17 13:00:00+02:00,4877429.885780567
2030,sc01,09-19 08:00:00+02:00,92739.11103495865
2030,sc01,09-26 00:00:00+02:00,87471.35995088184
2030,sc01,09-27 12:00:00+02:00,3280114.9014004003
2030,sc01,10-02 07:00:00+02:00,3239007.811869327
2030,sc01,10-10 16:00:00+02:00,2080037.155479646
2030,sc01,10-11 11:00:00+02:00,143264.3275515638
2030,sc01,10-21 09:00:00+02:00,176638.83738837246
2030,sc01,10-21 17:00:00+02:00,21499.85406490816
2030,sc01,10-22 17:00:00+02:00,62401.319563866266
2030,sc01,10-22 18:00:00+02:00,7532753.718874795
2030,sc01,10-25 00:00:00+02:00,78530.61333428859
2030,sc01,10-28 09:00:00+01:00,363363.3607618433
2030,sc01,10-28 17:00:00+01:00,5622.749255309489
2030,sc01,10-28 18:00:00+01:00,568529.1860338652
2030,sc01,10-30 07:00:00+01:00,40467.15183613415
2030,sc01,10-30 09:00:00+01:00,21880.275156853273
