Period,Scenario,LoadLevel,MEUR
2030,sc01,11-16 19:00:00+01:00,0.3506546633454478
2030,sc01,11-16 20:00:00+01:00,0.33569811085197543
2030,sc01,11-16 21:00:00+01:00,0.3163571592543707
2030,sc01,11-16 22:00:00+01:00,0.2949827358659583
2030,sc01,11-16 23:00:00+01:00,0.27953915386128664
2030,sc01,11-18 00:00:00+01:00,0.2257524678646872
2030,sc01,11-18 01:00:00+01:00,0.22300486846618667
2030,sc01,11-18 02:00:00+01:00,0.2222803425089058
2030,sc01,11-18 03:00:00+01:00,0.22240294073834918
2030,sc01,11-18 04:00:00+01:00,0.2287795001366839
2030,sc01,11-18 05:00:00+01:00,0.24193000959202624
2030,sc01,11-18 06:00:00+01:00,0.24591798555923947
2030,sc01,11-18 07:00:00+01:00,0.24981837497904663
2030,sc01,11-18 08:00:00+01:00,0.24985460391284192
2030,sc01,11-18 09:00:00+01:00,0.23797621299961746
2030,sc01,11-18 10:00:00+01:00,0.22653558139853713
2030,sc01,11-18 11:00:00+01:00,0.22120037741535842
2030,sc01,11-18 12:00:00+01:00,0.2188036550934174
2030,sc01,11-18 13:00:00+01:00,0.2162150448100791
2030,sc01,11-18 14:00:00+01:00,0.21565627686204505
2030,sc01,11-18 15:00:00+01:00,0.22087266455365756
2030,sc01,11-18 16:00:00+01:00,0.24824041215185647
2030,sc01,11-18 17:00:00+01:00,0.2849685779446384
2030,sc01,11-18 18:00:00+01:00,0.28850391840533135
2030,sc01,11-18 19:00:00+01:00,0.2827190097037484
2030,sc01,11-18 20:00:00+01:00,0.2722180269702917
2030,sc01,11-18 21:00:00+01:00,0.2581719400474712
2030,sc01,11-18 22:00:00+01:00,0.24449968419002585
2030,sc01,11-18 23:00:00+01:00,0.2348321309417527
2030,sc01,11-19 00:00:00+01:00,0.13459718418520197
2030,sc01,11-19 01:00:00+01:00,0.13132192644735405
2030,sc01,11-19 02:00:00+01:00,0.12927843433185515
2030,sc01,11-19 03:00:00+01:00,0.13059880478126754
2030,sc01,11-19 04:00:00+01:00,0.13411381005988102
2030,sc01,11-19 05:00:00+01:00,0.14191468837683513
2030,sc01,11-19 06:00:00+01:00,0.14881010681684292
2030,sc01,11-19 07:00:00+01:00,0.1536627292349621
2030,sc01,11-19 08:00:00+01:00,0.15425358965364405
2030,sc01,11-19 09:00:00+01:00,0.14387807826958807
2030,sc01,11-19 10:00:00+01:00,0.13622003800300572
2030,sc01,11-19 11:00:00+01:00,0.1320304895942228
2030,sc01,11-19 12:00:00+01:00,0.13068061232372083
2030,sc01,11-19 13:00:00+01:00,0.13007012621939318
2030,sc01,11-19 14:00:00+01:00,0.13106024830339363
2030,sc01,11-19 15:00:00+01:00,0.13564387902002342
2030,sc01,11-19 16:00:00+01:00,0.150198511653678
2030,sc01,11-19 17:00:00+01:00,0.16633133295591554
2030,sc01,11-19 18:00:00+01:00,0.1661980116378669
2030,sc01,11-19 19:00:00+01:00,0.16128500553172767
2030,sc01,11-19 20:00:00+01:00,0.1536435567227366
2030,sc01,11-19 21:00:00+01:00,0.1451952864347079
2030,sc01,11-19 22:00:00+01:00,0.1368503825958064
2030,sc01,11-19 23:00:00+01:00,0.13126460829242215
2030,sc01,12-09 00:00:00+01:00,0.6472179147945637
2030,sc01,12-09 01:00:00+01:00,0.6290748598102104
2030,sc01,12-09 02:00:00+01:00,0.6288596344386149
2030,sc01,12-09 03:00:00+01:00,0.6356283500585727
