Period,Scenario,LoadLevel,Node,GWh
2030,sc01,10-30 17:00:00+01:00,Node_8,0.0
2030,sc01,10-30 17:00:00+01:00,Node_9,0.0
2030,sc01,10-30 17:00:00+01:00,Node_7,0.0
2030,sc01,10-30 17:00:00+01:00,Node_6,0.0
2030,sc01,10-30 17:00:00+01:00,Node_2,0.0
2030,sc01,10-30 17:00:00+01:00,Node_5,0.0
2030,sc01,11-09 09:00:00+01:00,Node_4,0.0
2030,sc01,11-09 09:00:00+01:00,Node_3,0.0
2030,sc01,11-09 09:00:00+01:00,Node_1,0.0
2030,sc01,11-09 09:00:00+01:00,Node_8,0.0
2030,sc01,11-09 09:00:00+01:00,Node_9,0.0
2030,sc01,11-09 09:00:00+01:00,Node_7,0.0
2030,sc01,11-09 09:00:00+01:00,Node_6,0.0
2030,sc01,11-09 09:00:00+01:00,Node_2,0.0
2030,sc01,11-09 09:00:00+01:00,Node_5,0.0
2030,sc01,11-11 08:00:00+01:00,Node_4,0.0
2030,sc01,11-11 08:00:00+01:00,Node_3,0.0
2030,sc01,11-11 08:00:00+01:00,Node_1,0.0
2030,sc01,11-11 08:00:00+01:00,Node_8,0.0
2030,sc01,11-11 08:00:00+01:00,Node_9,0.0
2030,sc01,11-11 08:00:00+01:00,Node_7,0.0
2030,sc01,11-11 08:00:00+01:00,Node_6,0.0
2030,sc01,11-11 08:00:00+01:00,Node_2,0.0
2030,sc01,11-11 08:00:00+01:00,Node_5,0.0
2030,sc01,11-14 07:00:00+01:00,Node_4,0.0
2030,sc01,11-14 07:00:00+01:00,Node_3,0.0
2030,sc01,11-14 07:00:00+01:00,Node_1,0.0
2030,sc01,11-14 07:00:00+01:00,Node_8,0.0
2030,sc01,11-14 07:00:00+01:00,Node_9,0.0
2030,sc01,11-14 07:00:00+01:00,Node_7,0.0
2030,sc01,11-14 07:00:00+01:00,Node_6,0.0
2030,sc01,11-14 07:00:00+01:00,Node_2,0.0
2030,sc01,11-14 07:00:00+01:00,Node_5,0.0
