Period,Scenario,LoadLevel,Unit,tCO2
2030,sc01,01-14 09:00:00+01:00,Nuclear,0.0
2030,sc01,01-14 09:00:00+01:00,CCGT_4,0.0
2030,sc01,01-14 09:00:00+01:00,OCGT_1,0.0
2030,sc01,01-14 09:00:00+01:00,BrownLignite,0.0
2030,sc01,01-14 09:00:00+01:00,OCGT_2,0.0
2030,sc01,01-14 09:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-14 09:00:00+01:00,CCGT_1,41.95950678315585
2030,sc01,01-14 16:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-14 16:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-14 16:00:00+01:00,OCGT_3,0.0
2030,sc01,01-14 16:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-14 16:00:00+01:00,CCGT_2,100.6582025
2030,sc01,01-14 16:00:00+01:00,CCGT_3,35.06936508658853
2030,sc01,01-14 16:00:00+01:00,Nuclear,0.0
2030,sc01,01-14 16:00:00+01:00,CCGT_4,0.0
2030,sc01,01-14 16:00:00+01:00,OCGT_1,0.0
2030,sc01,01-14 16:00:00+01:00,BrownLignite,0.0
2030,sc01,01-14 16:00:00+01:00,OCGT_2,0.0
2030,sc01,01-14 16:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-14 16:00:00+01:00,CCGT_1,27.965288641477024
2030,sc01,01-16 07:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-16 07:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-16 07:00:00+01:00,OCGT_3,0.0
2030,sc01,01-16 07:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-16 07:00:00+01:00,CCGT_2,100.6582025
2030,sc01,01-16 07:00:00+01:00,CCGT_3,42.58657649658605
2030,sc01,01-16 07:00:00+01:00,Nuclear,0.0
2030,sc01,01-16 07:00:00+01:00,CCGT_4,0.0
2030,sc01,01-16 07:00:00+01:00,OCGT_1,0.0
2030,sc01,01-16 07:00:00+01:00,BrownLignite,0.0
2030,sc01,01-16 07:00:00+01:00,OCGT_2,0.0
2030,sc01,01-16 07:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-16 07:00:00+01:00,CCGT_1,73.4257254103434
2030,sc01,01-16 17:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-16 17:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-16 17:00:00+01:00,OCGT_3,0.0
2030,sc01,01-16 17:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-16 17:00:00+01:00,CCGT_2,100.6582025
2030,sc01,01-16 17:00:00+01:00,CCGT_3,50.759179310445575
2030,sc01,01-16 17:00:00+01:00,Nuclear,0.0
2030,sc01,01-16 17:00:00+01:00,CCGT_4,0.0
2030,sc01,01-16 17:00:00+01:00,OCGT_1,0.0
2030,sc01,01-16 17:00:00+01:00,BrownLignite,0.0
2030,sc01,01-16 17:00:00+01:00,OCGT_2,0.0
2030,sc01,01-16 17:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-16 17:00:00+01:00,CCGT_1,93.46593631746296
2030,sc01,01-17 04:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-17 04:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-17 04:00:00+01:00,OCGT_3,0.0
2030,sc01,01-17 04:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-17 04:00:00+01:00,CCGT_2,0.0
2030,sc01,01-17 04:00:00+01:00,CCGT_3,0.0
2030,sc01,01-17 04:00:00+01:00,Nuclear,0.0
2030,sc01,01-17 04:00:00+01:00,CCGT_4,0.0
2030,sc01,01-17 04:00:00+01:00,OCGT_1,0.0
2030,sc01,01-17 04:00:00+01:00,BrownLignite,0.0
2030,sc01,01-17 04:00:00+01:00,OCGT_2,0.0
2030,sc01,01-17 04:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-17 04:00:00+01:00,CCGT_1,0.0
2030,sc01,01-17 12:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-17 12:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-17 12:00:00+01:00,OCGT_3,0.0
2030,sc01,01-17 12:00:00+01:00,FuelOilGas,0.0
