Period,Scenario,LoadLevel,Node,SRMC
2030,sc01,03-26 16:00:00+01:00,Node_9,15.000000000000004
2030,sc01,03-26 16:00:00+01:00,Node_2,15.000000000000004
2030,sc01,03-26 16:00:00+01:00,Node_4,15.000000000000004
2030,sc01,03-26 16:00:00+01:00,Node_8,15.000000000000004
2030,sc01,03-26 16:00:00+01:00,Node_1,15.0
2030,sc01,03-26 16:00:00+01:00,Node_5,15.000000000000004
2030,sc01,04-09 03:00:00+02:00,Node_6,15.0
2030,sc01,04-09 03:00:00+02:00,Node_7,15.0
2030,sc01,04-09 03:00:00+02:00,Node_3,15.0
2030,sc01,04-09 03:00:00+02:00,Node_9,15.0
2030,sc01,04-09 03:00:00+02:00,Node_2,15.0
2030,sc01,04-09 03:00:00+02:00,Node_4,15.0
2030,sc01,04-09 03:00:00+02:00,Node_8,15.0
2030,sc01,04-09 03:00:00+02:00,Node_1,15.0
2030,sc01,04-09 03:00:00+02:00,Node_5,15.0
2030,sc01,04-11 20:00:00+02:00,Node_6,50.516056192415746
2030,sc01,04-11 20:00:00+02:00,Node_7,50.516056192415746
2030,sc01,04-11 20:00:00+02:00,Node_3,50.516056192415746
2030,sc01,04-11 20:00:00+02:00,Node_9,50.516056192415746
2030,sc01,04-11 20:00:00+02:00,Node_2,50.516056192415746
2030,sc01,04-11 20:00:00+02:00,Node_4,50.516056192415746
2030,sc01,04-11 20:00:00+02:00,Node_8,50.516056192415746
2030,sc01,04-11 20:00:00+02:00,Node_1,50.51605619241573
2030,sc01,04-11 20:00:00+02:00,Node_5,50.516056192415746
2030,sc01,05-07 21:00:00+02:00,Node_6,15.000000000000004
2030,sc01,05-07 21:00:00+02:00,Node_7,15.000000000000004
2030,sc01,05-07 21:00:00+02:00,Node_3,15.000000000000004
2030,sc01,05-07 21:00:00+02:00,Node_9,15.000000000000004
2030,sc01,05-07 21:00:00+02:00,Node_2,15.000000000000004
2030,sc01,05-07 21:00:00+02:00,Node_4,15.000000000000004
2030,sc01,05-07 21:00:00+02:00,Node_8,15.000000000000004
2030,sc01,05-07 21:00:00+02:00,Node_1,15.0
2030,sc01,05-07 21:00:00+02:00,Node_5,15.000000000000004
2030,sc01,05-21 15:00:00+02:00,Node_6,15.000000000000004
2030,sc01,05-21 15:00:00+02:00,Node_7,15.000000000000004
2030,sc01,05-21 15:00:00+02:00,Node_3,15.000000000000004
2030,sc01,05-21 15:00:00+02:00,Node_9,15.000000000000005
2030,sc01,05-21 15:00:00+02:00,Node_2,15.000000000000004
2030,sc01,05-21 15:00:00+02:00,Node_4,15.000000000000005
2030,sc01,05-21 15:00:00+02:00,Node_8,15.000000000000004
2030,sc01,05-21 15:00:00+02:00,Node_1,15.0
2030,sc01,05-21 15:00:00+02:00,Node_5,15.000000000000005
2030,sc01,06-03 01:00:00+02:00,Node_6,50.516056192415746
2030,sc01,06-03 01:00:00+02:00,Node_7,50.516056192415746
2030,sc01,06-03 01:00:00+02:00,Node_3,50.516056192415746
2030,sc01,06-03 01:00:00+02:00,Node_9,50.516056192415746
2030,sc01,06-03 01:00:00+02:00,Node_2,50.516056192415746
2030,sc01,06-03 01:00:00+02:00,Node_4,50.516056192415746
2030,sc01,06-03 01:00:00+02:00,Node_8,50.516056192415746
2030,sc01,06-03 01:00:00+02:00,Node_1,50.51605619241574
2030,sc01,06-03 01:00:00+02:00,Node_5,50.516056192415746
2030,sc01,06-04 20:00:00+02:00,Node_6,15.0
2030,sc01,06-04 20:00:00+02:00,Node_7,15.0
2030,sc01,06-04 20:00:00+02:00,Node_3,15.0
2030,sc01,06-04 20:00:00+02:00,Node_9,15.0
2030,sc01,06-04 20:00:00+02:00,Node_2,15.0
2030,sc01,06-04 20:00:00+02:00,Node_4,15.0
2030,sc01,06-04 20:00:00+02:00,Node_8,15.0
2030,sc01,06-04 20:00:00+02:00,Node_1,14.999999999999998
