,Network_Existing_Generation_Full,Network_Line_In_Node_1_Node_6_cac1,Network_Line_In_Node_1_Node_6_cac2,Network_Line_In_Node_1_Node_6_cac3,Network_Line_In_Node_2_Node_3_cac1,Network_Line_In_Node_2_Node_3_cac2,Network_Line_In_Node_2_Node_3_cac3,Network_Line_In_Node_2_Node_6_cac1,Network_Line_In_Node_2_Node_6_cac2,Network_Line_In_Node_2_Node_6_cac3,Network_Line_In_Node_3_Node_4_cac1,Network_Line_In_Node_3_Node_4_cac2,Network_Line_In_Node_3_Node_4_cac3,Network_Line_In_Node_3_Node_6_cac1,Network_Line_In_Node_3_Node_6_cac2,Network_Line_In_Node_3_Node_6_cac3,Network_Line_In_Node_4_Node_5_cac1,Network_Line_In_Node_4_Node_5_cac2,Network_Line_In_Node_4_Node_5_cac3,Network_Line_In_Node_4_Node_6_cac1,Network_Line_In_Node_4_Node_6_cac2,Network_Line_In_Node_4_Node_6_cac3,Network_Line_In_Node_4_Node_9_cac1,Network_Line_In_Node_4_Node_9_cac2,Network_Line_In_Node_4_Node_9_cac3,Network_Line_In_Node_6_Node_7_cac1,Network_Line_In_Node_6_Node_7_cac2,Network_Line_In_Node_6_Node_7_cac3,Network_Line_In_Node_6_Node_8_cac1,Network_Line_In_Node_6_Node_8_cac2,Network_Line_In_Node_6_Node_8_cac3,Network_Line_In_Node_7_Node_8_cac1,Network_Line_In_Node_7_Node_8_cac2,Network_Line_In_Node_7_Node_8_cac3,Network_Line_In_Node_8_Node_9_cac1,Network_Line_In_Node_8_Node_9_cac2,Network_Line_In_Node_8_Node_9_cac3
33,2.410274,2.4085312,2.4074535,2.407492,2.4087746,2.407275,2.4057753,2.400785,2.3915348,2.382493,2.408314,2.406354,2.404664,2.403002,2.3957303,2.3884583,0.08810433,0.07760641,0.073114395,2.4133646,2.4171112,2.4208572,2.4049234,2.399624,2.3947024,2.4053352,2.4006336,2.3962169,2.4138563,2.4174674,2.421392,2.4144151,2.4185562,2.4226975,2.408136,2.4059975,2.4038591
34,2.6925347,2.6911225,2.6897101,2.6882977,2.6896365,2.6873758,2.685876,2.6823795,2.6722882,2.66258,2.6906881,2.688842,2.6870806,2.684492,2.6764488,2.6685588,0.4005561,0.07628654,0.07406883,2.6936011,2.6970372,2.700783,2.6873748,2.6822155,2.6771188,2.6878796,2.6832247,2.6786332,2.695326,2.6981173,2.7013178,2.696279,2.7000244,2.703769,2.6891096,2.6860983,2.6839597
35,2.6268344,2.6254222,2.6240096,2.6225972,2.6239364,2.6222048,2.6207056,2.616679,2.6065238,2.596737,2.6249883,2.6231418,2.621295,2.6187918,2.6107485,2.6033878,0.3416378,0.07628654,0.07371777,2.6276278,2.6303515,2.634098,2.6216745,2.616515,2.611355,2.6221795,2.6175246,2.6128695,2.6296258,2.6324167,2.6359503,2.630579,2.634324,2.6380687,2.6234095,2.620927,2.618789
36,2.4704928,2.46908,2.4676678,2.4662557,2.4683042,2.4668045,2.465305,2.4603376,2.4508255,2.4413364,2.4686465,2.4668,2.4649537,2.4625316,2.4552598,2.4479878,0.15578789,0.07628654,0.07186316,2.4722276,2.4746513,2.4776616,2.4653325,2.4601731,2.4550133,2.4658377,2.4611826,2.4565277,2.4733856,2.4769678,2.4805498,2.4742377,2.478086,2.482227,2.4676652,2.4655266,2.463389
37,2.478508,2.477096,2.4756835,2.474271,2.4756103,2.473416,2.4719167,2.4683528,2.458197,2.4480417,2.4766617,2.4748151,2.472969,2.4704652,2.462422,2.454599,0.17052343,0.07628654,0.06995141,2.4790823,2.4812634,2.4843574,2.4733481,2.4681888,2.4630284,2.4738533,2.4691982,2.4645433,2.4812994,2.484091,2.4871616,2.4822528,2.4859977,2.4897423,2.4750834,2.4721382,2.4700003
38,2.3616402,2.3601966,2.358784,2.3573718,2.360141,2.3586416,2.357142,2.3521514,2.3426623,2.3331733,2.3597624,2.357916,2.3560696,2.3543684,2.3470967,2.3398247,0.072277166,0.07475003,0.061626464,2.3640642,2.367484,2.3712301,2.356449,2.351289,2.3461294,2.3569539,2.3522985,2.3476434,2.3652225,2.3688047,2.372387,2.3657813,2.3699226,2.374064,2.3595018,2.357364,2.3552256
39,2.1574473,2.155404,2.1533608,2.151318,2.1559472,2.1544483,2.1529484,2.147958,2.1386986,2.1296566,2.155487,2.1535268,2.1518173,2.150175,2.142903,2.1356313,0.05965042,0.070710465,0.058200486,2.1605287,2.1642752,2.1680207,2.1520963,2.1467457,2.141624,2.152508,2.147569,2.142859,2.1610289,2.1646311,2.1685557,2.161588,2.1657293,2.1698704,2.1553087,2.1531706,2.1510324
40,2.0817435,2.0797002,2.0776572,2.0756142,2.0802438,2.0787444,2.0772448,2.0722542,2.0627651,2.053276,2.0797832,2.0778234,2.0758634,2.0744712,2.0671995,2.0599277,0.06098713,0.066677846,0.054885067,2.084167,2.0865912,2.0890155,2.0763927,2.071042,2.0656915,2.0768044,2.0718653,2.0669262,2.0853255,2.0889075,2.0924895,2.0858843,2.0900254,2.0941668,2.079605,2.0774667,2.0753286
41,2.2339997,2.2319565,2.2299135,2.2278705,2.2325003,2.2310007,2.229501,2.2245107,2.2150216,2.2055328,2.23204,2.2300797,2.2281199,2.226728,2.2194562,2.2121844,0.06582086,0.06612382,0.05442957,2.2364237,2.238848,2.241272,2.2286491,2.2232985,2.217948,2.229061,2.2241218,2.219183,2.2375822,2.2411637,2.2447462,2.2381408,2.2422822,2.246423,2.2318616,2.2297232,2.2275848
42,2.7262857,2.724243,2.7221992,2.7202582,2.7247863,2.7232866,2.7217872,2.7167969,2.7073076,2.6978188,2.724326,2.7223656,2.720406,2.7190142,2.711742,2.7044697,0.4147879,0.07360203,0.060577795,2.7287097,2.731134,2.733558,2.7209349,2.7155848,2.710234,2.721347,2.7164078,2.7114687,2.7298682,2.73345,2.7370322,2.7304268,2.734568,2.738709,2.7241476,2.7220092,2.7198708
43,2.9166763,2.915264,2.9138515,2.9124396,2.9137783,2.9113204,2.909821,2.9065213,2.8963654,2.8862104,2.91483,2.9129834,2.9111373,2.9086332,2.9005904,2.892547,0.58133775,0.07628654,0.06352116,2.9172506,2.9191673,2.9215922,2.9115167,2.9063568,2.9011967,2.9120214,2.907366,2.9027116,2.919468,2.922259,2.925066,2.9204211,2.9241657,2.9279106,2.9132514,2.910043,2.9079049
44,2.962858,2.9614456,2.9600332,2.958621,2.9599602,2.9570618,2.9541638,2.9527025,2.942547,2.9323916,2.9610114,2.959165,2.9573188,2.954815,2.9467719,2.9387288,0.62304956,0.07628654,0.06513943,2.9634323,2.964007,2.965128,2.957698,2.9525385,2.9473786,2.9582033,2.953548,2.9488928,2.9656494,2.9684405,2.9712324,2.9666026,2.9703472,2.974092,2.959433,2.956008,2.952583
45,2.9637175,2.962421,2.9611244,2.959828,2.9606462,2.9575748,2.9545033,2.9540095,2.9443011,2.9345925,2.9621763,2.960635,2.9590936,2.9558535,2.9479887,2.9401245,0.62721366,0.07628654,0.06524705,2.9656143,2.9675112,2.9694076,2.9588559,2.9539938,2.949132,2.9593608,2.9550035,2.9506462,2.9668515,2.9699852,2.9731188,2.9672036,2.9706898,2.974317,2.9603052,2.956893,2.9534812
46,2.7340949,2.732798,2.7315016,2.730205,2.7310233,2.7279518,2.7253115,2.7243865,2.7146783,2.70497,2.7325532,2.7310119,2.7294707,2.7262304,2.7183657,2.7105014,0.42378736,0.07484979,0.06172622,2.7359912,2.7378876,2.741569,2.7292328,2.7243707,2.7195086,2.7297375,2.7253804,2.721023,2.7372284,2.7403617,2.7434955,2.7375805,2.7410672,2.7445526,2.7306821,2.7272701,2.7239532
47,2.3371472,2.33522,2.3332925,2.3313653,2.3354745,2.3338017,2.3321285,2.3281052,2.3190632,2.3100214,2.3354921,2.333837,2.3321824,2.3300538,2.3229606,2.3158674,0.067911,0.06917195,0.056935593,2.3408935,2.3446398,2.3483856,2.3320944,2.327042,2.3219888,2.3325064,2.3278651,2.3232238,2.3410718,2.344996,2.3489208,2.3410296,2.344912,2.3487942,2.3350215,2.3328962,2.3307705
48,1.9103644,1.908361,1.9064336,1.9045063,1.9086155,1.9069426,1.9052696,1.9024235,1.8944831,1.8865421,1.9093981,1.9084313,1.9074651,1.903982,1.8975997,1.8912175,0.06384412,0.06446629,0.053066827,1.9140342,1.9177803,1.9215269,1.9052352,1.9001827,1.8951298,1.9056472,1.901006,1.8963646,1.9142127,1.918137,1.9220613,1.9141707,1.9180532,1.9219353,1.9081625,1.9060369,1.9039115
