LoadLevel,CCGT_1,CCGT_2,CCGT_3,SolarPV_1,WindFarm_1
01-08 02:00:00+01:00,0.0,2.170486013142181e-14,0.0,0.0,0.0
01-08 03:00:00+01:00,0.0,1.840194663316197e-14,0.0,0.0,0.0
01-08 04:00:00+01:00,0.0,1.2184697695261093e-14,0.0,0.0,0.0
01-08 05:00:00+01:00,0.0,-0.009247850216645204,0.0092478502166621,0.0,0.0
01-08 06:00:00+01:00,0.0,-0.013247360766619892,0.0132473607666621,0.0,0.0
01-08 07:00:00+01:00,0.0,-0.009250165463337096,0.0092501654633287,0.0,0.0
01-08 08:00:00+01:00,0.0,-0.0016553126466422874,0.0016553126466621,0.0,0.0
01-08 09:00:00+01:00,0.0,7.072120666862247e-14,0.0,0.0,0.0
01-08 10:00:00+01:00,0.0,1.940114735532461e-14,0.0,0.0,0.0
01-08 11:00:00+01:00,0.0,-1.0907941216942163e-14,0.0,0.0,0.0
01-08 12:00:00+01:00,0.0,3.8996583739958623e-14,0.0,0.0,0.0
01-08 13:00:00+01:00,0.0,1.700029006457271e-14,0.0,0.0,0.0
01-08 14:00:00+01:00,0.0,1.4099832412739488e-14,0.0,0.0,0.0
01-08 15:00:00+01:00,0.0,1.2295719997723609e-14,0.0,0.0,0.0
01-08 16:00:00+01:00,0.0,4.9987791683747673e-14,0.0,0.0,0.0
01-08 17:00:00+01:00,0.0,1.790234627208065e-14,0.0,0.0,0.0
01-08 18:00:00+01:00,0.0,1.8041124150158794e-15,0.0,0.0,0.0
01-08 19:00:00+01:00,0.0,-5.800915303666443e-15,0.0,0.0,0.0
01-08 20:00:00+01:00,0.0,5.540012892879531e-14,0.0,0.0,0.0
01-08 21:00:00+01:00,0.0,5.009881398621019e-14,0.0,0.0,0.0
01-08 22:00:00+01:00,0.0,1.6708856520608606e-14,0.0,0.0,0.0
01-08 23:00:00+01:00,0.0,7.799316747991725e-15,0.0,0.0,0.0
01-09 00:00:00+01:00,0.0,1.8693380177126073e-14,0.0,0.0,0.0
01-09 01:00:00+01:00,0.0,3.1405433809084116e-14,0.0,0.0,0.0
01-09 02:00:00+01:00,0.0,7.799316747991725e-15,0.0,0.0,0.0
01-09 03:00:00+01:00,0.0,2.2398749521812533e-14,0.0,0.0,0.0
01-09 04:00:00+01:00,0.0,2.861599845971341e-14,0.0,0.0,0.0
01-09 05:00:00+01:00,0.0,-0.007795733133356408,0.0077957331333287,0.0,0.0
01-09 06:00:00+01:00,0.0,-0.010597001599966877,0.0105970015999954,0.0,0.0
01-09 07:00:00+01:00,0.0,-0.006293286923317792,0.0062932869233287,0.0,0.0
01-09 08:00:00+01:00,0.0,2.400857290751901e-14,0.0,0.0,0.0
01-09 09:00:00+01:00,0.0,-6.6058269965196814e-15,0.0,0.0,0.0
01-09 10:00:00+01:00,0.0,-1.6403545188836688e-14,0.0,0.0,0.0
01-09 11:00:00+01:00,0.0,4.5102810375396984e-15,0.0,0.0,0.0
01-09 12:00:00+01:00,0.0,-5.6066262743570405e-15,0.0,0.0,0.0
01-09 13:00:00+01:00,0.0,1.3503087537003466e-14,0.0,0.0,0.0
01-09 14:00:00+01:00,0.0,-4.0897840669629204e-14,0.0,0.0,0.0
01-09 15:00:00+01:00,0.0,-1.0394463068053028e-14,0.0,0.0,0.0
01-09 16:00:00+01:00,0.0,-2.3897550605056495e-14,0.0,0.0,0.0
01-09 17:00:00+01:00,0.0,2.2398749521812533e-14,0.0,0.0,0.0
01-09 18:00:00+01:00,0.0,1.8096635301390052e-14,0.0,0.0,0.0
01-09 19:00:00+01:00,0.0,-9.298117831235686e-15,0.0,0.0,0.0
01-09 20:00:00+01:00,0.0,6.189493362285248e-15,0.0,0.0,0.0
01-09 21:00:00+01:00,0.0,6.350475700855895e-14,0.0,0.0,0.0
01-09 22:00:00+01:00,0.0,-8.68749516769185e-15,0.0,0.0,0.0
01-09 23:00:00+01:00,0.0,-1.609823385706477e-14,0.0,0.0,0.0
01-10 00:00:00+01:00,0.0,-8.798517470154366e-15,0.0,0.0,0.0
