Period,Scenario,LoadLevel,Node,SRMC
2030,sc01,06-02 14:00:00+02:00,Node_8,14.999999999999998
2030,sc01,06-02 14:00:00+02:00,Node_5,14.999999999999998
2030,sc01,06-02 14:00:00+02:00,Node_7,14.999999999999998
2030,sc01,06-02 14:00:00+02:00,Node_3,14.999999999999998
2030,sc01,06-06 14:00:00+02:00,Node_9,1.4999999999999998
2030,sc01,06-06 14:00:00+02:00,Node_4,1.4999999999999996
2030,sc01,06-06 14:00:00+02:00,Node_2,1.4999999999999998
2030,sc01,06-06 14:00:00+02:00,Node_1,1.5
2030,sc01,06-06 14:00:00+02:00,Node_6,1.4999999999999998
2030,sc01,06-06 14:00:00+02:00,Node_8,1.4999999999999998
2030,sc01,06-06 14:00:00+02:00,Node_5,1.4999999999999996
2030,sc01,06-06 14:00:00+02:00,Node_7,1.4999999999999998
2030,sc01,06-06 14:00:00+02:00,Node_3,1.4999999999999998
2030,sc01,06-22 00:00:00+02:00,Node_9,14.999999999999998
2030,sc01,06-22 00:00:00+02:00,Node_4,14.999999999999998
2030,sc01,06-22 00:00:00+02:00,Node_2,14.999999999999998
2030,sc01,06-22 00:00:00+02:00,Node_1,14.999999999999998
2030,sc01,06-22 00:00:00+02:00,Node_6,14.999999999999998
2030,sc01,06-22 00:00:00+02:00,Node_8,14.999999999999998
2030,sc01,06-22 00:00:00+02:00,Node_5,14.999999999999998
2030,sc01,06-22 00:00:00+02:00,Node_7,14.999999999999998
2030,sc01,06-22 00:00:00+02:00,Node_3,14.999999999999998
2030,sc01,07-10 17:00:00+02:00,Node_9,64.91521206004072
2030,sc01,07-10 17:00:00+02:00,Node_4,64.91521206004072
2030,sc01,07-10 17:00:00+02:00,Node_2,64.91521206004072
2030,sc01,07-10 17:00:00+02:00,Node_1,64.91521206004072
2030,sc01,07-10 17:00:00+02:00,Node_6,64.91521206004072
2030,sc01,07-10 17:00:00+02:00,Node_8,64.91521206004072
2030,sc01,07-10 17:00:00+02:00,Node_5,64.91521206004072
2030,sc01,07-10 17:00:00+02:00,Node_7,64.91521206004072
2030,sc01,07-10 17:00:00+02:00,Node_3,64.91521206004072
2030,sc01,07-11 21:00:00+02:00,Node_9,64.91521206004073
2030,sc01,07-11 21:00:00+02:00,Node_4,64.91521206004073
2030,sc01,07-11 21:00:00+02:00,Node_2,64.91521206004073
2030,sc01,07-11 21:00:00+02:00,Node_1,64.91521206004073
2030,sc01,07-11 21:00:00+02:00,Node_6,64.91521206004073
2030,sc01,07-11 21:00:00+02:00,Node_8,64.91521206004073
2030,sc01,07-11 21:00:00+02:00,Node_5,64.91521206004073
2030,sc01,07-11 21:00:00+02:00,Node_7,64.91521206004073
2030,sc01,07-11 21:00:00+02:00,Node_3,64.91521206004073
2030,sc01,07-15 10:00:00+02:00,Node_9,15.0
2030,sc01,07-15 10:00:00+02:00,Node_4,14.999999999999998
2030,sc01,07-15 10:00:00+02:00,Node_2,15.0
2030,sc01,07-15 10:00:00+02:00,Node_1,15.0
2030,sc01,07-15 10:00:00+02:00,Node_6,15.0
2030,sc01,07-15 10:00:00+02:00,Node_8,15.0
2030,sc01,07-15 10:00:00+02:00,Node_5,14.999999999999998
2030,sc01,07-15 10:00:00+02:00,Node_7,15.0
2030,sc01,07-15 10:00:00+02:00,Node_3,15.0
2030,sc01,07-18 16:00:00+02:00,Node_9,15.0
2030,sc01,07-18 16:00:00+02:00,Node_4,15.0
2030,sc01,07-18 16:00:00+02:00,Node_2,15.0
2030,sc01,07-18 16:00:00+02:00,Node_1,15.0
2030,sc01,07-18 16:00:00+02:00,Node_6,15.0
2030,sc01,07-18 16:00:00+02:00,Node_8,15.0
2030,sc01,07-18 16:00:00+02:00,Node_5,15.0
2030,sc01,07-18 16:00:00+02:00,Node_7,15.0
2030,sc01,07-18 16:00:00+02:00,Node_3,15.0
2030,sc01,07-27 01:00:00+02:00,Node_9,64.91521206004073
2030,sc01,07-27 01:00:00+02:00,Node_4,64.91521206004079
2030,sc01,07-27 01:00:00+02:00,Node_2,64.91521206004073
2030,sc01,07-27 01:00:00+02:00,Node_1,64.91521206004073
2030,sc01,07-27 01:00:00+02:00,Node_6,64.91521206004073
2030,sc01,07-27 01:00:00+02:00,Node_8,64.91521206004073
2030,sc01,07-27 01:00:00+02:00,Node_5,64.91521206004079
2030,sc01,07-27 01:00:00+02:00,Node_7,64.91521206004073
2030,sc01,07-27 01:00:00+02:00,Node_3,64.91521206004073
2030,sc01,09-30 18:00:00+02:00,Node_9,64.91521206004074
2030,sc01,09-30 18:00:00+02:00,Node_4,64.91521206004074
2030,sc01,09-30 18:00:00+02:00,Node_2,64.91521206004074
2030,sc01,09-30 18:00:00+02:00,Node_1,64.91521206004072
2030,sc01,09-30 18:00:00+02:00,Node_6,64.91521206004074
2030,sc01,09-30 18:00:00+02:00,Node_8,64.91521206004074
2030,sc01,09-30 18:00:00+02:00,Node_5,64.91521206004074
2030,sc01,09-30 18:00:00+02:00,Node_7,64.91521206004074
2030,sc01,09-30 18:00:00+02:00,Node_3,64.91521206004074
2030,sc01,10-10 23:00:00+02:00,Node_9,15.0
2030,sc01,10-10 23:00:00+02:00,Node_4,15.000000000000014
2030,sc01,10-10 23:00:00+02:00,Node_2,15.0
2030,sc01,10-10 23:00:00+02:00,Node_1,15.0
2030,sc01,10-10 23:00:00+02:00,Node_6,15.0
2030,sc01,10-10 23:00:00+02:00,Node_8,15.0
2030,sc01,10-10 23:00:00+02:00,Node_5,15.000000000000014
2030,sc01,10-10 23:00:00+02:00,Node_7,15.0
2030,sc01,10-10 23:00:00+02:00,Node_3,15.0
2030,sc01,10-13 14:00:00+02:00,Node_9,14.999999999999998
2030,sc01,10-13 14:00:00+02:00,Node_4,14.999999999999996
2030,sc01,10-13 14:00:00+02:00,Node_2,14.999999999999998
2030,sc01,10-13 14:00:00+02:00,Node_1,14.999999999999998
2030,sc01,10-13 14:00:00+02:00,Node_6,14.999999999999998
2030,sc01,10-13 14:00:00+02:00,Node_8,14.999999999999998
2030,sc01,10-13 14:00:00+02:00,Node_5,14.999999999999996
2030,sc01,10-13 14:00:00+02:00,Node_7,14.999999999999998
2030,sc01,10-13 14:00:00+02:00,Node_3,14.999999999999998
2030,sc01,10-15 14:00:00+02:00,Node_9,1.5
2030,sc01,10-15 14:00:00+02:00,Node_4,1.5
2030,sc01,10-15 14:00:00+02:00,Node_2,1.5
2030,sc01,10-15 14:00:00+02:00,Node_1,1.5
2030,sc01,10-15 14:00:00+02:00,Node_6,1.5
2030,sc01,10-15 14:00:00+02:00,Node_8,1.5
2030,sc01,10-15 14:00:00+02:00,Node_5,1.5
2030,sc01,10-15 14:00:00+02:00,Node_7,1.5
2030,sc01,10-15 14:00:00+02:00,Node_3,1.5
2030,sc01,10-23 03:00:00+02:00,Node_9,15.0
2030,sc01,10-23 03:00:00+02:00,Node_4,15.0
2030,sc01,10-23 03:00:00+02:00,Node_2,15.0
2030,sc01,10-23 03:00:00+02:00,Node_1,15.0
2030,sc01,10-23 03:00:00+02:00,Node_6,15.0
2030,sc01,10-23 03:00:00+02:00,Node_8,15.0
2030,sc01,10-23 03:00:00+02:00,Node_5,15.0
2030,sc01,10-23 03:00:00+02:00,Node_7,15.0
2030,sc01,10-23 03:00:00+02:00,Node_3,15.0
2030,sc01,10-28 06:00:00+01:00,Node_9,15.0
2030,sc01,10-28 06:00:00+01:00,Node_4,15.0
2030,sc01,10-28 06:00:00+01:00,Node_2,15.0
2030,sc01,10-28 06:00:00+01:00,Node_1,15.0
2030,sc01,10-28 06:00:00+01:00,Node_6,15.0
2030,sc01,10-28 06:00:00+01:00,Node_8,15.0
2030,sc01,10-28 06:00:00+01:00,Node_5,15.0
2030,sc01,10-28 06:00:00+01:00,Node_7,15.0
2030,sc01,10-28 06:00:00+01:00,Node_3,15.0
2030,sc01,11-14 02:00:00+01:00,Node_9,1.5
2030,sc01,11-14 02:00:00+01:00,Node_4,1.4999999999999998
2030,sc01,11-14 02:00:00+01:00,Node_2,1.5
2030,sc01,11-14 02:00:00+01:00,Node_1,1.5
2030,sc01,11-14 02:00:00+01:00,Node_6,1.5
2030,sc01,11-14 02:00:00+01:00,Node_8,1.5
2030,sc01,11-14 02:00:00+01:00,Node_5,1.4999999999999998
2030,sc01,11-14 02:00:00+01:00,Node_7,1.5
2030,sc01,11-14 02:00:00+01:00,Node_3,1.5
2030,sc01,11-17 10:00:00+01:00,Node_9,1.5000000000000002
2030,sc01,11-17 10:00:00+01:00,Node_4,1.5000000000000002
2030,sc01,11-17 10:00:00+01:00,Node_2,1.5
2030,sc01,11-17 10:00:00+01:00,Node_1,1.5000000000000002
2030,sc01,11-17 10:00:00+01:00,Node_6,1.5000000000000002
2030,sc01,11-17 10:00:00+01:00,Node_8,1.5000000000000002
2030,sc01,11-17 10:00:00+01:00,Node_5,1.5000000000000002
2030,sc01,11-17 10:00:00+01:00,Node_7,1.5000000000000002
2030,sc01,11-17 10:00:00+01:00,Node_3,1.5
2030,sc01,11-20 08:00:00+01:00,Node_9,15.0
2030,sc01,11-20 08:00:00+01:00,Node_4,15.0
2030,sc01,11-20 08:00:00+01:00,Node_2,15.0
2030,sc01,11-20 08:00:00+01:00,Node_1,15.0
2030,sc01,11-20 08:00:00+01:00,Node_6,15.0
2030,sc01,11-20 08:00:00+01:00,Node_8,15.0
2030,sc01,11-20 08:00:00+01:00,Node_5,15.0
2030,sc01,11-20 08:00:00+01:00,Node_7,15.0
2030,sc01,11-20 08:00:00+01:00,Node_3,15.0
2030,sc01,11-27 07:00:00+01:00,Node_9,15.0
2030,sc01,11-27 07:00:00+01:00,Node_4,15.0
2030,sc01,11-27 07:00:00+01:00,Node_2,15.0
2030,sc01,11-27 07:00:00+01:00,Node_1,15.0
2030,sc01,11-27 07:00:00+01:00,Node_6,15.0
2030,sc01,11-27 07:00:00+01:00,Node_8,15.0
2030,sc01,11-27 07:00:00+01:00,Node_5,15.0
2030,sc01,11-27 07:00:00+01:00,Node_7,15.0
2030,sc01,11-27 07:00:00+01:00,Node_3,15.0
